2025-10-19T11:56:30.637137Z WARN  angles Skipping pyspedas because it does not support both GEO and MAG systems
2025-10-19T11:56:37.827191Z INFO  angles 
GEO_MAG in degrees
            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy
2010-01-01      54.361275  54.361275      54.371183  54.351126  54.360829  54.361275
2010-01-02      54.361328  54.361328      54.371183  54.351198  54.360891  54.361328
2010-01-03      54.361382  54.361382      54.371183  54.351270  54.360954  54.361382
2010-01-04      54.361436  54.361436      54.371183  54.351341  54.361017  54.361436
2010-01-05      54.361490  54.361490      54.371183  54.351413  54.361080  54.361490
2010-01-06      54.361544  54.361544      54.371183  54.351485  54.361143  54.361544
2010-01-07      54.361598  54.361598      54.371183  54.351556  54.361205  54.361598
2010-01-08      54.361651  54.361651      54.371183  54.351628  54.361268  54.361652
2010-01-09      54.361705  54.361705      54.371183  54.351700  54.361331  54.361706
2010-01-10      54.361759  54.361759      54.371183  54.351772  54.361394  54.361759
2010-01-11      54.361813  54.361813      54.371183  54.351844  54.361456  54.361813
2010-01-12      54.361867  54.361867      54.371183  54.351915  54.361519  54.361867
2010-01-13      54.361921  54.361921      54.371183  54.351987  54.361582  54.361921
2010-01-14      54.361975  54.361975      54.371183  54.352059  54.361644  54.361975
2010-01-15      54.362028  54.362029      54.371183  54.352131  54.361707  54.362029
2010-01-16      54.362082  54.362082      54.371183  54.352203  54.361770  54.362083
2010-01-17      54.362136  54.362136      54.371183  54.352274  54.361832  54.362137
2010-01-18      54.362190  54.362190      54.371183  54.352346  54.361895  54.362191
2010-01-19      54.362244  54.362244      54.371183  54.352418  54.361957  54.362245
2010-01-20      54.362298  54.362298      54.371183  54.352490  54.362020  54.362299
2010-01-21      54.362352  54.362352      54.371183  54.352562  54.362083  54.362353
2010-01-22      54.362406  54.362406      54.371183  54.352634  54.362145  54.362407
2010-01-23      54.362460  54.362460      54.371183  54.352706  54.362208  54.362461
2010-01-24      54.362514  54.362514      54.371183  54.352778  54.362270  54.362514
2010-01-25      54.362568  54.362568      54.371183  54.352850  54.362333  54.362568
2010-01-26      54.362622  54.362622      54.371183  54.352922  54.362395  54.362622
2010-01-27      54.362675  54.362676      54.371183  54.352994  54.362458  54.362676
