                     geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy
2010-12-21 00:00:00      27.930521  27.931219      27.951884  27.925076  27.919459  27.932653
2010-12-21 00:10:00      28.276680  28.277358      28.298687  28.271527  28.265773  28.278741
2010-12-21 00:20:00      28.613707  28.614365      28.636328  28.608851  28.602968  28.615696
2010-12-21 00:30:00      28.941273  28.941910      28.964476  28.936717  28.930712  28.943187
2010-12-21 00:40:00      29.259062  29.259677      29.282816  29.254808  29.248689  29.260899
2010-12-21 00:50:00      29.566770  29.567363      29.591046  29.562822  29.556598  29.568530
2010-12-21 01:00:00      29.864111  29.864681      29.888878  29.860472  29.854148  29.865791
2010-12-21 01:10:00      30.150810  30.151356      30.176037  30.147481  30.141067  30.152410
2010-12-21 01:20:00      30.426605  30.427127      30.452262  30.423588  30.417091  30.428123
2010-12-21 01:30:00      30.691248  30.691745      30.717305  30.688545  30.681971  30.692683
2010-12-21 01:40:00      30.944501  30.944973      30.970928  30.942114  30.935472  30.945852
2010-12-21 01:50:00      31.186141  31.186588      31.212908  31.184070  31.177367  31.187408
2010-12-21 02:00:00      31.415956  31.416377      31.443033  31.414202  31.407446  31.417137
2010-12-21 02:10:00      31.633745  31.634139      31.661102  31.632309  31.625506  31.634839
2010-12-21 02:20:00      31.839320  31.839687      31.866928  31.838202  31.831360  31.840327
2010-12-21 02:30:00      32.032504  32.032844      32.060333  32.031705  32.024831  32.033423
2010-12-21 02:40:00      32.213132  32.213445      32.241152  32.212651  32.205753  32.213963
2010-12-21 02:50:00      32.381051  32.381336      32.409232  32.380887  32.373971  32.381793
2010-12-21 03:00:00      32.536117  32.536374      32.564430  32.536270  32.529345  32.536770
2010-12-21 03:10:00      32.678201  32.678430      32.706617  32.678670  32.671741  32.678764
2010-12-21 03:20:00      32.807182  32.807383      32.835672  32.807966  32.801042  32.807655
2010-12-21 03:30:00      32.922954  32.923125      32.951487  32.924051  32.917137  32.923336
2010-12-21 03:40:00      33.025418  33.025561      33.053967  33.026827  33.019931  33.025710
2010-12-21 03:50:00      33.114490  33.114604      33.143025  33.116209  33.109338  33.114691
2010-12-21 04:00:00      33.190096  33.190181      33.218587  33.192122  33.185283  33.190206
2010-12-21 04:10:00      33.252172  33.252228      33.280592  33.254504  33.247703  33.252192
2010-12-21 04:20:00      33.300667  33.300694      33.328987  33.303302  33.296547  33.300596
2010-12-21 04:30:00      33.335542  33.335539      33.363733  33.338476  33.331773  33.335380
