            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   9.783232e-15  9.784475e-15   9.782822e-15  9.778982e-15  9.778982e-15  9.784484e-15  9.783233e-15
2010-01-02   9.905968e-15  9.907265e-15   9.905564e-15  9.901562e-15  9.901562e-15  9.907235e-15  9.905968e-15
2010-01-03   1.003268e-14  1.003403e-14   1.003228e-14  1.002811e-14  1.002811e-14  1.003396e-14  1.003268e-14
2010-01-04   1.016348e-14  1.016489e-14   1.016310e-14  1.015876e-14  1.015876e-14  1.016478e-14  1.016348e-14
2010-01-05   1.029850e-14  1.029996e-14   1.029812e-14  1.029361e-14  1.029361e-14  1.029981e-14  1.029850e-14
2010-01-06   1.043784e-14  1.043935e-14   1.043747e-14  1.043279e-14  1.043279e-14  1.043918e-14  1.043784e-14
2010-01-07   1.058163e-14  1.058321e-14   1.058127e-14  1.057643e-14  1.057643e-14  1.058301e-14  1.058163e-14
2010-01-08   1.073001e-14  1.073164e-14   1.072965e-14  1.072465e-14  1.072465e-14  1.073143e-14  1.073001e-14
2010-01-09   1.088309e-14  1.088480e-14   1.088275e-14  1.087759e-14  1.087759e-14  1.088458e-14  1.088309e-14
2010-01-10   1.104102e-14  1.104280e-14   1.104069e-14  1.103538e-14  1.103538e-14  1.104258e-14  1.104102e-14
2010-01-11   1.120394e-14  1.120579e-14   1.120362e-14  1.119815e-14  1.119815e-14  1.120558e-14  1.120394e-14
2010-01-12   1.137197e-14  1.137390e-14   1.137166e-14  1.136605e-14  1.136605e-14  1.137371e-14  1.137197e-14
2010-01-13   1.154528e-14  1.154728e-14   1.154498e-14  1.153922e-14  1.153922e-14  1.154711e-14  1.154528e-14
2010-01-14   1.172399e-14  1.172607e-14   1.172371e-14  1.171780e-14  1.171780e-14  1.172594e-14  1.172399e-14
2010-01-15   1.190826e-14  1.191043e-14   1.190800e-14  1.190194e-14  1.190194e-14  1.191033e-14  1.190827e-14
2010-01-16   1.209825e-14  1.210049e-14   1.209800e-14  1.209180e-14  1.209180e-14  1.210043e-14  1.209825e-14
2010-01-17   1.229410e-14  1.229642e-14   1.229387e-14  1.228751e-14  1.228751e-14  1.229640e-14  1.229410e-14
2010-01-18   1.249598e-14  1.249837e-14   1.249575e-14  1.248924e-14  1.248924e-14  1.249839e-14  1.249598e-14
2010-01-19   1.270402e-14  1.270650e-14   1.270382e-14  1.269714e-14  1.269714e-14  1.270655e-14  1.270402e-14
2010-01-20   1.291841e-14  1.292096e-14   1.291822e-14  1.291137e-14  1.291137e-14  1.292105e-14  1.291841e-14
2010-01-21   1.313928e-14  1.314192e-14   1.313912e-14  1.313207e-14  1.313207e-14  1.314204e-14  1.313928e-14
2010-01-22   1.336681e-14  1.336953e-14   1.336667e-14  1.335942e-14  1.335942e-14  1.336967e-14  1.336681e-14
2010-01-23   1.360115e-14  1.360396e-14   1.360103e-14  1.359356e-14  1.359356e-14  1.360411e-14  1.360115e-14
2010-01-24   1.384245e-14  1.384536e-14   1.384235e-14  1.383465e-14  1.383465e-14  1.384550e-14  1.384245e-14
2010-01-25   1.409088e-14  1.409388e-14   1.409080e-14  1.408284e-14  1.408284e-14  1.409402e-14  1.409088e-14
2010-01-26   1.434658e-14  1.434969e-14   1.434653e-14  1.433829e-14  1.433829e-14  1.434979e-14  1.434658e-14
2010-01-27   1.460970e-14  1.461292e-14   1.460967e-14  1.460114e-14  1.460114e-14  1.461298e-14  1.460970e-14
2010-01-28   1.488038e-14  1.488371e-14   1.488039e-14  1.487154e-14  1.487154e-14  1.488373e-14  1.488038e-14
2010-01-29   1.515878e-14  1.516222e-14   1.515881e-14  1.514963e-14  1.514963e-14  1.516217e-14  1.515878e-14
2010-01-30   1.544501e-14  1.544855e-14   1.544507e-14  1.543554e-14  1.543554e-14  1.544844e-14  1.544501e-14
2010-01-31   1.573919e-14  1.574284e-14   1.573929e-14  1.572941e-14  1.572941e-14  1.574266e-14  1.573920e-14
2010-02-01   1.604146e-14  1.604520e-14   1.604158e-14  1.603135e-14  1.603135e-14  1.604495e-14  1.604146e-14
2010-02-02   1.635190e-14  1.635574e-14   1.635206e-14  1.634147e-14  1.634147e-14  1.635543e-14  1.635190e-14
2010-02-03   1.667060e-14  1.667454e-14   1.667080e-14  1.665986e-14  1.665986e-14  1.667418e-14  1.667060e-14
2010-02-04   1.699764e-14  1.700168e-14   1.699788e-14  1.698661e-14  1.698661e-14  1.700129e-14  1.699764e-14
2010-02-05   1.733308e-14  1.733722e-14   1.733336e-14  1.732176e-14  1.732176e-14  1.733682e-14  1.733308e-14
2010-02-06   1.767696e-14  1.768121e-14   1.767728e-14  1.766537e-14  1.766537e-14  1.768081e-14  1.767696e-14
2010-02-07   1.802930e-14  1.803365e-14   1.802965e-14  1.801746e-14  1.801746e-14  1.803328e-14  1.802930e-14
2010-02-08   1.839008e-14  1.839455e-14   1.839048e-14  1.837801e-14  1.837801e-14  1.839423e-14  1.839008e-14
2010-02-09   1.875929e-14  1.876386e-14   1.875973e-14  1.874700e-14  1.874700e-14  1.876361e-14  1.875929e-14
2010-02-10   1.913686e-14  1.914154e-14   1.913735e-14  1.912438e-14  1.912438e-14  1.914137e-14  1.913686e-14
2010-02-11   1.952270e-14  1.952748e-14   1.952324e-14  1.951004e-14  1.951004e-14  1.952742e-14  1.952270e-14
2010-02-12   1.991669e-14  1.992157e-14   1.991728e-14  1.990386e-14  1.990386e-14  1.992162e-14  1.991669e-14
2010-02-13   2.031868e-14  2.032364e-14   2.031931e-14  2.030570e-14  2.030570e-14  2.032382e-14  2.031868e-14
2010-02-14   2.072846e-14  2.073350e-14   2.072914e-14  2.071533e-14  2.071533e-14  2.073381e-14  2.072846e-14
2010-02-15   2.114579e-14  2.115091e-14   2.114653e-14  2.113253e-14  2.113253e-14  2.115136e-14  2.114579e-14
2010-02-16   2.157040e-14  2.157559e-14   2.157119e-14  2.155701e-14  2.155701e-14  2.157617e-14  2.157040e-14
2010-02-17   2.200196e-14  2.200720e-14   2.200280e-14  2.198844e-14  2.198844e-14  2.200791e-14  2.200196e-14
2010-02-18   2.244008e-14  2.244538e-14   2.244098e-14  2.242643e-14  2.242643e-14  2.244620e-14  2.244008e-14
2010-02-19   2.288435e-14  2.288969e-14   2.288530e-14  2.287057e-14  2.287057e-14  2.289062e-14  2.288435e-14
2010-02-20   2.333427e-14  2.333966e-14   2.333528e-14  2.332035e-14  2.332035e-14  2.334067e-14  2.333427e-14
2010-02-21   2.378932e-14  2.379475e-14   2.379038e-14  2.377525e-14  2.377525e-14  2.379583e-14  2.378932e-14
2010-02-22   2.424890e-14  2.425437e-14   2.425002e-14  2.423468e-14  2.423468e-14  2.425549e-14  2.424890e-14
2010-02-23   2.471237e-14  2.471787e-14   2.471354e-14  2.469799e-14  2.469799e-14  2.471902e-14  2.471237e-14
2010-02-24   2.517902e-14  2.518455e-14   2.518025e-14  2.516448e-14  2.516448e-14  2.518570e-14  2.517902e-14
2010-02-25   2.564810e-14  2.565365e-14   2.564938e-14  2.563340e-14  2.563340e-14  2.565478e-14  2.564810e-14
2010-02-26   2.611879e-14  2.612435e-14   2.612012e-14  2.610393e-14  2.610393e-14  2.612544e-14  2.611879e-14
2010-02-27   2.659022e-14  2.659577e-14   2.659160e-14  2.657522e-14  2.657522e-14  2.659681e-14  2.659022e-14
2010-02-28   2.706149e-14  2.706701e-14   2.706292e-14  2.704637e-14  2.704637e-14  2.706799e-14  2.706149e-14
2010-03-01   2.753162e-14  2.753709e-14   2.753309e-14  2.751641e-14  2.751641e-14  2.753802e-14  2.753162e-14
2010-03-02   2.799962e-14  2.800501e-14   2.800113e-14  2.798435e-14  2.798435e-14  2.800590e-14  2.799962e-14
2010-03-03   2.846443e-14  2.846974e-14   2.846598e-14  2.844916e-14  2.844916e-14  2.847061e-14  2.846443e-14
2010-03-04   2.892499e-14  2.893020e-14   2.892657e-14  2.890976e-14  2.890976e-14  2.893106e-14  2.892499e-14
2010-03-05   2.938019e-14  2.938530e-14   2.938180e-14  2.936506e-14  2.936506e-14  2.938617e-14  2.938019e-14
2010-03-06   2.982891e-14  2.983392e-14   2.983056e-14  2.981395e-14  2.981395e-14  2.983483e-14  2.982892e-14
2010-03-07   3.027005e-14  3.027493e-14   3.027171e-14  3.025529e-14  3.025529e-14  3.027590e-14  3.027005e-14
2010-03-08   3.070246e-14  3.070721e-14   3.070414e-14  3.068797e-14  3.068797e-14  3.070825e-14  3.070246e-14
2010-03-09   3.112503e-14  3.112965e-14   3.112672e-14  3.111086e-14  3.111086e-14  3.113077e-14  3.112503e-14
2010-03-10   3.153667e-14  3.154114e-14   3.153837e-14  3.152286e-14  3.152286e-14  3.154236e-14  3.153667e-14
2010-03-11   3.193632e-14  3.194063e-14   3.193802e-14  3.192291e-14  3.192291e-14  3.194194e-14  3.193632e-14
2010-03-12   3.232295e-14  3.232708e-14   3.232464e-14  3.230996e-14  3.230996e-14  3.232849e-14  3.232295e-14
2010-03-13   3.269558e-14  3.269952e-14   3.269725e-14  3.268306e-14  3.268306e-14  3.270102e-14  3.269558e-14
2010-03-14   3.305330e-14  3.305705e-14   3.305496e-14  3.304126e-14  3.304126e-14  3.305861e-14  3.305330e-14
2010-03-15   3.339527e-14  3.339880e-14   3.339691e-14  3.338373e-14  3.338373e-14  3.340043e-14  3.339527e-14
2010-03-16   3.372073e-14  3.372404e-14   3.372233e-14  3.370969e-14  3.370969e-14  3.372570e-14  3.372073e-14
