            geopack_08_dp     spacepy  spacepy-irbem   spiceypy1   spiceypy2       sunpy    pyspedas
2010-01-01     123.753917  123.750093     123.754943  123.762657  123.762657  123.750467  123.753917
2010-01-02     123.441201  123.437291     123.442194  123.450129  123.450129  123.437784  123.441200
2010-01-03     123.124353  123.120366     123.125313  123.133465  123.133465  123.120975  123.124353
2010-01-04     122.803453  122.799395     122.804379  122.812738  122.812738  122.800110  122.803453
2010-01-05     122.478580  122.474455     122.479472  122.488022  122.488022  122.475260  122.478579
2010-01-06     122.149814  122.145622     122.150671  122.159394  122.159394  122.146499  122.149814
2010-01-07     121.817238  121.812975     121.818059  121.826933  121.826933  121.813903  121.817237
2010-01-08     121.480933  121.476598     121.481719  121.490721  121.490721  121.477553  121.480933
2010-01-09     121.140986  121.136574     121.141735  121.150843  121.150843  121.137535  121.140985
2010-01-10     120.797481  120.792991     120.798193  120.807384  120.807384  120.793935  120.797480
2010-01-11     120.450504  120.445936     120.451180  120.460433  120.460433  120.446844  120.450504
2010-01-12     120.100144  120.095500     120.100782  120.110081  120.110081  120.096354  120.100144
2010-01-13     119.746490  119.741773     119.747090  119.756419  119.756419  119.742558  119.746489
2010-01-14     119.389631  119.384846     119.390193  119.399541  119.399541  119.385551  119.389631
2010-01-15     119.029660  119.024812     119.030183  119.039542  119.039542  119.025430  119.029659
2010-01-16     118.666667  118.661764     118.667151  118.676517  118.676517  118.662291  118.666667
2010-01-17     118.300747  118.295795     118.301192  118.310565  118.310565  118.296232  118.300747
2010-01-18     117.931995  117.926998     117.932400  117.941783  117.941783  117.927349  117.931994
2010-01-19     117.560505  117.555468     117.560870  117.570272  117.570272  117.555741  117.560505
2010-01-20     117.186375  117.181301     117.186700  117.196130  117.196130  117.181508  117.186375
2010-01-21     116.809703  116.804593     116.809987  116.819460  116.819460  116.804747  116.809702
2010-01-22     116.430586  116.425440     116.430829  116.440362  116.440362  116.425559  116.430585
2010-01-23     116.049125  116.043942     116.049328  116.058939  116.058939  116.044044  116.049125
2010-01-24     115.665422  115.660198     115.665583  115.675292  115.675292  115.660305  115.665421
2010-01-25     115.279577  115.274310     115.279697  115.289525  115.289525  115.274443  115.279576
2010-01-26     114.891694  114.886381     114.891772  114.901740  114.901740  114.886560  114.891693
2010-01-27     114.501876  114.496517     114.501912  114.512040  114.512040  114.496763  114.501875
2010-01-28     114.110229  114.104826     114.110223  114.120525  114.120525  114.105153  114.110228
2010-01-29     113.716857  113.711417     113.716810  113.727296  113.727296  113.711838  113.716857
2010-01-30     113.321870  113.316400     113.321781  113.332456  113.332456  113.316920  113.321869
2010-01-31     112.925372  112.919884     112.925241  112.936103  112.936103  112.920502  112.925372
2010-02-01     112.527475  112.521976     112.527302  112.538341  112.538341  112.522684  112.527474
2010-02-02     112.128286  112.122783     112.128071  112.139271  112.139271  112.123565  112.128286
2010-02-03     111.727918  111.722412     111.727661  111.739000  111.739000  111.723248  111.727917
2010-02-04     111.326480  111.320971     111.326181  111.337635  111.337635  111.321837  111.326480
2010-02-05     110.924086  110.918572     110.923745  110.935286  110.935286  110.919442  110.924085
2010-02-06     110.520848  110.515327     110.520466  110.532067  110.532067  110.516175  110.520848
2010-02-07     110.116882  110.111351     110.116458  110.128092  110.128092  110.112151  110.116881
2010-02-08     109.712300  109.706761     109.711835  109.723477  109.723477  109.707490  109.712300
2010-02-09     109.307221  109.301674     109.306714  109.318342  109.318342  109.302310  109.307220
2010-02-10     108.901759  108.896208     108.901211  108.912804  108.912804  108.896733  108.901758
2010-02-11     108.496032  108.490482     108.495444  108.506986  108.506986  108.490882  108.496032
2010-02-12     108.090159  108.084614     108.089530  108.101009  108.101009  108.084879  108.090159
2010-02-13     107.684259  107.678726     107.683590  107.694996  107.694996  107.678848  107.684258
2010-02-14     107.278450  107.272936     107.277741  107.289071  107.289071  107.272913  107.278450
2010-02-15     106.872854  106.867364     106.872106  106.883358  106.883358  106.867198  106.872854
2010-02-16     106.467592  106.462131     106.466805  106.477982  106.477982  106.461827  106.467592
2010-02-17     106.062786  106.057357     106.061959  106.073070  106.073070  106.056926  106.062785
2010-02-18     105.658558  105.653164     105.657693  105.668747  105.668747  105.652617  105.658557
2010-02-19     105.255031  105.249672     105.254128  105.265140  105.265140  105.249027  105.255030
2010-02-20     104.852329  104.847005     104.851389  104.862376  104.862376  104.846280  104.852329
2010-02-21     104.450577  104.445285     104.449600  104.460579  104.460579  104.444500  104.450577
2010-02-22     104.049901  104.044636     104.048886  104.059878  104.059878  104.043814  104.049900
2010-02-23     103.650424  103.645184     103.649374  103.660397  103.660397  103.644348  103.650424
2010-02-24     103.252274  103.247058     103.251189  103.262261  103.262261  103.246227  103.252274
2010-02-25     102.855578  102.850385     102.854457  102.865596  102.865596  102.849579  102.855578
2010-02-26     102.460462  102.455297     102.459307  102.470523  102.470523  102.454531  102.460462
2010-02-27     102.067055  102.061924     102.065866  102.077167  102.077167  102.061208  102.067054
2010-02-28     101.675484  101.670396     101.674262  101.685647  101.685647  101.669734  101.675483
2010-03-01     101.285878  101.280842     101.284623  101.296087  101.296087  101.280231  101.285877
2010-03-02     100.898365  100.893389     100.897079  100.908609  100.908609  100.892819  100.898365
2010-03-03     100.513076  100.508161     100.511758  100.523335  100.523335  100.507617  100.513075
2010-03-04     100.130138  100.125286     100.128790  100.140392  100.140392  100.124749  100.130138
2010-03-05      99.749683   99.744890      99.748305   99.759906   99.759906   99.744338   99.749683
2010-03-06      99.371840   99.367102      99.370433   99.382006   99.382006   99.366512   99.371839
2010-03-07      98.996738   98.992053      98.995303   99.006823   99.006823   98.991403   98.996738
2010-03-08      98.624509   98.619874      98.623046   98.634488   98.634488   98.619143   98.624508
2010-03-09      98.255282   98.250696      98.253792   98.265132   98.265132   98.249866   98.255281
2010-03-10      97.889188   97.884652      97.887672   97.898889   97.898889   97.883705   97.889187
2010-03-11      97.526356   97.521874      97.524815   97.535891   97.535891   97.520796   97.526355
2010-03-12      97.166917   97.162492      97.165352   97.176273   97.176273   97.161274   97.166917
2010-03-13      96.811001   96.806637      96.809412   96.820167   96.820167   96.805272   96.811001
2010-03-14      96.458738   96.454440      96.457126   96.467706   96.467706   96.452924   96.458738
2010-03-15      96.110257   96.106030      96.108623   96.119025   96.119025   96.104364   96.110257
2010-03-16      95.765688   95.761535      95.764032   95.774255   95.774255   95.759723   95.765687
2010-03-17      95.425158   95.421084      95.423482   95.433529   95.433529   95.419134   95.425158
2010-03-18      95.088797   95.084803      95.087101   95.096978   95.096978   95.082725   95.088797
2010-03-19      94.756732   94.752818      94.755018   94.764734   94.764734   94.750626   94.756732
2010-03-20      94.429091   94.425254      94.427359   94.436925   94.436925   94.422964   94.429090
2010-03-21      94.106000   94.102236      94.104250   94.113680   94.113680   94.099866   94.105999
2010-03-22      93.787584   93.783889      93.785818   93.795125   93.795125   93.781457   93.787583
2010-03-23      93.473969   93.470337      93.472187   93.481386   93.481386   93.467863   93.473968
2010-03-24      93.165278   93.161705      93.163482   93.172586   93.172586   93.159208   93.165277
2010-03-25      92.861635   92.858120      92.859825   92.868847   92.868847   92.855615   92.861635
2010-03-26      92.563162   92.559705      92.561339   92.570286   92.570286   92.557207   92.563161
2010-03-27      92.269979   92.266585      92.268144   92.277021   92.277021   92.264103   92.269978
2010-03-28      91.982206   91.978882      91.980360   91.989168   91.989168   91.976422   91.982205
2010-03-29      91.699961   91.696715      91.698105   91.706839   91.706839   91.694277   91.699960
2010-03-30      91.423360   91.420199      91.421495   91.430147   91.430147   91.417780   91.423360
2010-03-31      91.152520   91.149446      91.150646   91.159203   91.159203   91.147037   91.152520
2010-04-01      90.887553   90.884565      90.885671   90.894117   90.894117   90.882156   90.887553
2010-04-02      90.628572   90.625667      90.626683   90.634999   90.634999   90.623244   90.628572
2010-04-03      90.375686   90.372859      90.373791   90.381958   90.381958   90.370407   90.375686
2010-04-04      90.129004   90.126249      90.127104   90.135103   90.135103   90.123755   90.129004
2010-04-05      89.888632   89.885945      89.886727   89.894540   89.894540   89.883395   89.888632
2010-04-06      89.654674   89.652050      89.652765   89.660376   89.660376   89.649434   89.654673
2010-04-07      89.427231   89.424670      89.425319   89.432713   89.432713   89.421978   89.427230
2010-04-08      89.206403   89.203904      89.204489   89.211654   89.211654   89.201129   89.206403
2010-04-09      88.992287   88.989852      88.990372   88.997298   88.997298   88.986989   88.992287
2010-04-10      88.784978   88.782609      88.783062   88.789743   88.789743   88.779656   88.784978
2010-04-11      88.584568   88.582269      88.582652   88.589082   88.589082   88.579225   88.584568
2010-04-12      88.391146   88.388920      88.389231   88.395409   88.395409   88.385789   88.391146
2010-04-13      88.204798   88.202649      88.202885   88.208811   88.208811   88.199437   88.204798
2010-04-14      88.025609   88.023539      88.023697   88.029375   88.029375   88.020253   88.025608
2010-04-15      87.853657   87.851668      87.851749   87.857184   87.857184   87.848319   87.853657
2010-04-16      87.689022   87.687114      87.687118   87.692316   87.692316   87.683711   87.689022
2010-04-17      87.531778   87.529947      87.529878   87.534848   87.534848   87.526504   87.531778
2010-04-18      87.381995   87.380236      87.380100   87.384850   87.384850   87.376765   87.381995
2010-04-19      87.239741   87.238048      87.237852   87.242391   87.242391   87.234563   87.239741
2010-04-20      87.105081   87.103447      87.103199   87.107535   87.107535   87.099959   87.105081
2010-04-21      86.978076   86.976495      86.976200   86.980340   86.980340   86.973015   86.978076
2010-04-22      86.858782   86.857251      86.856914   86.860863   86.860863   86.853787   86.858782
2010-04-23      86.747254   86.745772      86.745394   86.749154   86.749154   86.742331   86.747253
2010-04-24      86.643541   86.642112      86.641690   86.645261   86.645261   86.638696   86.643540
2010-04-25      86.547689   86.546318      86.545848   86.549227   86.549227   86.542928   86.547689
2010-04-26      86.459741   86.458434      86.457910   86.461093   86.461093   86.455068   86.459741
2010-04-27      86.379735   86.378498      86.377916   86.380893   86.380893   86.375152   86.379735
2010-04-28      86.307706   86.306541      86.305898   86.308662   86.308662   86.303209   86.307706
2010-04-29      86.243685   86.242592      86.241888   86.244429   86.244429   86.239267   86.243684
2010-04-30      86.187697   86.186673      86.185913   86.188221   86.188221   86.183348   86.187696
2010-05-01      86.139765   86.138804      86.137994   86.140060   86.140060   86.135472   86.139765
2010-05-02      86.099908   86.099004      86.098151   86.099966   86.099966   86.095660   86.099908
2010-05-03      86.068140   86.067287      86.066397   86.067955   86.067955   86.063926   86.068140
2010-05-04      86.044472   86.043665      86.042743   86.044039   86.044039   86.040285   86.044472
2010-05-05      86.028908   86.028143      86.027195   86.028227   86.028227   86.024744   86.028908
2010-05-06      86.021453   86.020728      86.019755   86.020522   86.020522   86.017311   86.021452
2010-05-07      86.022102   86.021417      86.020420   86.020924   86.020924   86.017986   86.022102
2010-05-08      86.030850   86.030206      86.029185   86.029429   86.029429   86.026766   86.030850
2010-05-09      86.047687   86.047086      86.046039   86.046029   86.046029   86.043644   86.047687
2010-05-10      86.072599   86.072044      86.070968   86.070710   86.070710   86.068609   86.072599
2010-05-11      86.105566   86.105061      86.103952   86.103455   86.103455   86.101642   86.105566
2010-05-12      86.146566   86.146114      86.144971   86.144243   86.144243   86.142722   86.146566
2010-05-13      86.195573   86.195177      86.193996   86.193048   86.193048   86.191821   86.195573
2010-05-14      86.252556   86.252216      86.250999   86.249838   86.249838   86.248907   86.252556
2010-05-15      86.317481   86.317194      86.315943   86.314580   86.314580   86.313942   86.317481
2010-05-16      86.390310   86.390072      86.388792   86.387234   86.387234   86.386884   86.390310
2010-05-17      86.471001   86.470804      86.469502   86.467755   86.467755   86.467687   86.471001
2010-05-18      86.559507   86.559345      86.558029   86.556095   86.556095   86.556302   86.559508
2010-05-19      86.655781   86.655647      86.654323   86.652203   86.652203   86.652678   86.655781
2010-05-20      86.759767   86.759657      86.758331   86.756022   86.756022   86.756760   86.759767
2010-05-21      86.871411   86.871324      86.869996   86.867494   86.867494   86.868493   86.871411
2010-05-22      86.990652   86.990589      86.989258   86.986557   86.986557   86.987817   86.990652
2010-05-23      87.117426   87.117393      87.116054   87.113144   87.113144   87.114670   87.117426
2010-05-24      87.251667   87.251668      87.250317   87.247190   87.247190   87.248986   87.251668
2010-05-25      87.393306   87.393347      87.391978   87.388622   87.388622   87.390692   87.393306
2010-05-26      87.542268   87.542352      87.540963   87.537370   87.537370   87.539716   87.542269
2010-05-27      87.698479   87.698606      87.697197   87.693359   87.693359   87.695979   87.698479
2010-05-28      87.861859   87.862027      87.860600   87.856511   87.856511   87.859403   87.861860
2010-05-29      88.032327   88.032532      88.031091   88.026747   88.026747   88.029904   88.032327
2010-05-30      88.209798   88.210034      88.208585   88.203986   88.203986   88.207401   88.209798
2010-05-31      88.394185   88.394446      88.392995   88.388142   88.388142   88.391808   88.394185
2010-06-01      88.585398   88.585679      88.584232   88.579130   88.579130   88.583039   88.585398
2010-06-02      88.783345   88.783642      88.782203   88.776859   88.776859   88.781005   88.783346
2010-06-03      88.987933   88.988243      88.986815   88.981239   88.981239   88.985617   88.987933
2010-06-04      89.199064   89.199386      89.197970   89.192173   89.192173   89.196780   89.199064
2010-06-05      89.416640   89.416974      89.415570   89.409566   89.409566   89.414400   89.416640
2010-06-06      89.640559   89.640908      89.639514   89.633318   89.633318   89.638378   89.640559
2010-06-07      89.870720   89.871086      89.869699   89.863328   89.863328   89.868615   89.870720
2010-06-08      90.107018   90.107405      90.106021   90.099492   90.099492   90.105007   90.107018
2010-06-09      90.349346   90.349758      90.348374   90.341703   90.341703   90.347448   90.349347
2010-06-10      90.597598   90.598039      90.596650   90.589854   90.589854   90.595829   90.597598
2010-06-11      90.851663   90.852135      90.850740   90.843833   90.843833   90.850039   90.851663
2010-06-12      91.111431   91.111934      91.110532   91.103528   91.103528   91.109961   91.111431
2010-06-13      91.376789   91.377320      91.375916   91.368823   91.368823   91.375476   91.376790
2010-06-14      91.647625   91.648178      91.646776   91.639600   91.639600   91.646467   91.647626
2010-06-15      91.923824   91.924393      91.923000   91.915742   91.915742   91.922811   91.923825
2010-06-16      92.205271   92.205849      92.204472   92.197128   92.197128   92.204389   92.205271
2010-06-17      92.491849   92.492431      92.491074   92.483638   92.483638   92.491083   92.491849
2010-06-18      92.783440   92.784026      92.782691   92.775151   92.775151   92.782774   92.783441
2010-06-19      93.079928   93.080517      93.079203   93.071545   93.071545   93.079346   93.079928
2010-06-20      93.381192   93.381790      93.380491   93.372702   93.372702   93.380680   93.381192
2010-06-21      93.687113   93.687725      93.686437   93.678501   93.678501   93.686657   93.687113
2010-06-22      93.997572   93.998202      93.996921   93.988823   93.988823   93.997158   93.997572
2010-06-23      94.312447   94.313100      94.311821   94.303548   94.303548   94.312064   94.312447
2010-06-24      94.631618   94.632296      94.631017   94.622559   94.622559   94.631252   94.631619
2010-06-25      94.954964   94.955666      94.954387   94.945737   94.945737   94.954604   94.954965
2010-06-26      95.282363   95.283087      95.281810   95.272964   95.272964   95.281998   95.282363
2010-06-27      95.613693   95.614435      95.613165   95.604122   95.604122   95.613316   95.613694
2010-06-28      95.948833   95.949588      95.948329   95.939093   95.939093   95.948437   95.948833
2010-06-29      96.287659   96.288424      96.287180   96.277757   96.277757   96.287244   96.287660
2010-06-30      96.630051   96.630822      96.629596   96.619998   96.619998   96.629618   96.630052
