            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   6.899696e-15  6.899875e-15   6.904200e-15  6.898853e-15  6.899614e-15  6.899643e-15  6.899696e-15
2010-01-02   6.913257e-15  6.913483e-15   6.917745e-15  6.912442e-15  6.913206e-15  6.913197e-15  6.913257e-15
2010-01-03   6.928367e-15  6.928639e-15   6.932840e-15  6.927578e-15  6.928344e-15  6.928297e-15  6.928367e-15
2010-01-04   6.945033e-15  6.945348e-15   6.949492e-15  6.944268e-15  6.945038e-15  6.944951e-15  6.945033e-15
2010-01-05   6.963261e-15  6.963621e-15   6.967709e-15  6.962521e-15  6.963295e-15  6.963169e-15  6.963261e-15
2010-01-06   6.983060e-15  6.983465e-15   6.987498e-15  6.982346e-15  6.983123e-15  6.982959e-15  6.983060e-15
2010-01-07   7.004439e-15  7.004889e-15   7.008867e-15  7.003752e-15  7.004533e-15  7.004332e-15  7.004439e-15
2010-01-08   7.027405e-15  7.027902e-15   7.031826e-15  7.026747e-15  7.027532e-15  7.027295e-15  7.027405e-15
2010-01-09   7.051968e-15  7.052513e-15   7.056382e-15  7.051341e-15  7.052131e-15  7.051858e-15  7.051968e-15
2010-01-10   7.078136e-15  7.078731e-15   7.082545e-15  7.077544e-15  7.078339e-15  7.078030e-15  7.078136e-15
2010-01-11   7.105920e-15  7.106564e-15   7.110325e-15  7.105366e-15  7.106165e-15  7.105820e-15  7.105920e-15
2010-01-12   7.135328e-15  7.136024e-15   7.139732e-15  7.134815e-15  7.135620e-15  7.135238e-15  7.135328e-15
2010-01-13   7.166372e-15  7.167118e-15   7.170775e-15  7.165903e-15  7.166713e-15  7.166294e-15  7.166372e-15
2010-01-14   7.199062e-15  7.199858e-15   7.203465e-15  7.198639e-15  7.199455e-15  7.198997e-15  7.199062e-15
2010-01-15   7.233408e-15  7.234253e-15   7.237814e-15  7.233034e-15  7.233857e-15  7.233358e-15  7.233408e-15
2010-01-16   7.269423e-15  7.270316e-15   7.273832e-15  7.269099e-15  7.269928e-15  7.269389e-15  7.269423e-15
2010-01-17   7.307117e-15  7.308058e-15   7.311531e-15  7.306845e-15  7.307681e-15  7.307099e-15  7.307118e-15
2010-01-18   7.346504e-15  7.347491e-15   7.350923e-15  7.346283e-15  7.347126e-15  7.346502e-15  7.346504e-15
2010-01-19   7.387594e-15  7.388627e-15   7.392021e-15  7.387424e-15  7.388274e-15  7.387608e-15  7.387594e-15
2010-01-20   7.430401e-15  7.431480e-15   7.434837e-15  7.430281e-15  7.431139e-15  7.430430e-15  7.430402e-15
2010-01-21   7.474939e-15  7.476063e-15   7.479385e-15  7.474865e-15  7.475731e-15  7.474980e-15  7.474939e-15
2010-01-22   7.521220e-15  7.522390e-15   7.525677e-15  7.521189e-15  7.522064e-15  7.521271e-15  7.521220e-15
2010-01-23   7.569258e-15  7.570475e-15   7.573728e-15  7.569267e-15  7.570150e-15  7.569316e-15  7.569258e-15
2010-01-24   7.619067e-15  7.620333e-15   7.623552e-15  7.619110e-15  7.620003e-15  7.619128e-15  7.619067e-15
2010-01-25   7.670662e-15  7.671978e-15   7.675163e-15  7.670734e-15  7.671636e-15  7.670721e-15  7.670662e-15
2010-01-26   7.724058e-15  7.725425e-15   7.728575e-15  7.724152e-15  7.725064e-15  7.724110e-15  7.724058e-15
2010-01-27   7.779270e-15  7.780689e-15   7.783805e-15  7.779380e-15  7.780303e-15  7.779308e-15  7.779270e-15
2010-01-28   7.836313e-15  7.837784e-15   7.840868e-15  7.836434e-15  7.837367e-15  7.836330e-15  7.836313e-15
2010-01-29   7.895202e-15  7.896726e-15   7.899778e-15  7.895329e-15  7.896273e-15  7.895193e-15  7.895202e-15
2010-01-30   7.955955e-15  7.957529e-15   7.960553e-15  7.956084e-15  7.957039e-15  7.955914e-15  7.955955e-15
2010-01-31   8.018586e-15  8.020208e-15   8.023208e-15  8.018715e-15  8.019683e-15  8.018510e-15  8.018586e-15
2010-02-01   8.083113e-15  8.084780e-15   8.087760e-15  8.083243e-15  8.084223e-15  8.083001e-15  8.083113e-15
2010-02-02   8.149552e-15  8.151263e-15   8.154225e-15  8.149685e-15  8.150678e-15  8.149407e-15  8.149552e-15
2010-02-03   8.217920e-15  8.219675e-15   8.222620e-15  8.218061e-15  8.219066e-15  8.217747e-15  8.217920e-15
2010-02-04   8.288234e-15  8.290032e-15   8.292963e-15  8.288388e-15  8.289407e-15  8.288040e-15  8.288234e-15
2010-02-05   8.360511e-15  8.362354e-15   8.365270e-15  8.360685e-15  8.361718e-15  8.360304e-15  8.360511e-15
2010-02-06   8.434768e-15  8.436657e-15   8.439558e-15  8.434971e-15  8.436018e-15  8.434557e-15  8.434768e-15
2010-02-07   8.511023e-15  8.512959e-15   8.515845e-15  8.511262e-15  8.512324e-15  8.510817e-15  8.511023e-15
2010-02-08   8.589292e-15  8.591276e-15   8.594148e-15  8.589577e-15  8.590654e-15  8.589099e-15  8.589293e-15
2010-02-09   8.669594e-15  8.671626e-15   8.674485e-15  8.669931e-15  8.671024e-15  8.669420e-15  8.669594e-15
2010-02-10   8.751946e-15  8.754025e-15   8.756873e-15  8.752343e-15  8.753452e-15  8.751798e-15  8.751946e-15
