            geopack_08_dp     spacepy  spacepy-irbem   spiceypy1   spiceypy2       sunpy    pyspedas
2010-01-01     133.265508  133.264135     133.246018  133.267222  133.263927  133.265827  133.265508
2010-01-02     133.204749  133.203173     133.185390  133.206330  133.203034  133.205115  133.204749
2010-01-03     133.137680  133.135910     133.118451  133.139136  133.135839  133.138102  133.137680
2010-01-04     133.064348  133.062391     133.045249  133.065682  133.062384  133.064828  133.064348
2010-01-05     132.984803  132.982664     132.965833  132.986016  132.982716  132.985336  132.984803
2010-01-06     132.899101  132.896781     132.880261  132.900188  132.896888  132.899676  132.899100
2010-01-07     132.807301  132.804799     132.788590  132.808256  132.804955  132.807904  132.807301
2010-01-08     132.709469  132.706782     132.690886  132.710281  132.706980  132.710083  132.709468
2010-01-09     132.605672  132.602799     132.587217  132.606331  132.603029  132.606281  132.605671
2010-01-10     132.495983  132.492923     132.477656  132.496477  132.493175  132.496571  132.495983
2010-01-11     132.380478  132.377231     132.362278  132.380796  132.377493  132.381031  132.380478
2010-01-12     132.259237  132.255806     132.241163  132.259367  132.256063  132.259742  132.259237
2010-01-13     132.132343  132.128733     132.114395  132.132275  132.128971  132.132790  132.132343
2010-01-14     131.999882  131.996098     131.982058  131.999608  131.996303  132.000263  131.999882
2010-01-15     131.861944  131.857994     131.844244  131.861458  131.858153  131.862253  131.861943
2010-01-16     131.718619  131.714511     131.701042  131.717920  131.714615  131.718854  131.718619
2010-01-17     131.570003  131.565745     131.552548  131.569092  131.565786  131.570163  131.570002
2010-01-18     131.416191  131.411792     131.398858  131.415074  131.411767  131.416279  131.416191
2010-01-19     131.257283  131.252749     131.240070  131.255967  131.252660  131.257303  131.257283
2010-01-20     131.093380  131.088717     131.076287  131.091878  131.088571  131.093338  131.093380
2010-01-21     130.924584  130.919796     130.907609  130.922912  130.919604  130.924490  130.924583
2010-01-22     130.750999  130.746089     130.734142  130.749177  130.745868  130.750865  130.750998
2010-01-23     130.572730  130.567701     130.555991  130.570780  130.567471  130.572571  130.572730
2010-01-24     130.389885  130.384735     130.373262  130.387833  130.384523  130.389718  130.389884
2010-01-25     130.202571  130.197301     130.186063  130.200443  130.197133  130.202416  130.202571
2010-01-26     130.010898  130.005506     129.994504  130.008721  130.005410  130.010777  130.010897
2010-01-27     129.814974  129.809463     129.798694  129.812776  129.809464  129.814911  129.814974
2010-01-28     129.614911  129.609284     129.598743  129.612715  129.609402  129.614928  129.614911
2010-01-29     129.410820  129.405083     129.394763  129.408646  129.405332  129.410938  129.410819
2010-01-30     129.202811  129.196976     129.186865  129.200673  129.197359  129.203046  129.202810
2010-01-31     128.990996  128.985077     128.975161  128.988902  128.985587  128.991357  128.990996
2010-02-01     128.775488  128.769497     128.759762  128.773437  128.770121  128.775973  128.775488
