                 spacepy  spacepy-irbem  spiceypy1  spiceypy2         sunpy  |max-min|
2010-01-01 -1.421085e-14       0.011984  -0.011671  -0.000398  0.000000e+00   0.023656
2010-01-02  8.918569e-09       0.011919  -0.011651  -0.000388  4.461727e-08   0.023570
2010-01-03  1.783856e-08       0.011854  -0.011631  -0.000378  8.924179e-08   0.023485
2010-01-04  2.676004e-08       0.011789  -0.011611  -0.000368  1.338736e-07   0.023399
2010-01-05  3.568295e-08       0.011724  -0.011590  -0.000358  1.785127e-07   0.023314
2010-01-06  4.460738e-08       0.011659  -0.011570  -0.000348  2.231591e-07   0.023228
2010-01-07  5.353321e-08       0.011593  -0.011550  -0.000338  2.678127e-07   0.023143
2010-01-08  6.246051e-08       0.011528  -0.011529  -0.000328  3.124737e-07   0.023057
2010-01-09  7.138927e-08       0.011463  -0.011509  -0.000317  3.571419e-07   0.022972
2010-01-10  8.031942e-08       0.011398  -0.011489  -0.000307  4.018174e-07   0.022886
2010-01-11  8.925108e-08       0.011333  -0.011468  -0.000297  4.465002e-07   0.022801
2010-01-12  9.818422e-08       0.011267  -0.011448  -0.000288  4.911902e-07   0.022715
2010-01-13  1.071188e-07       0.011202  -0.011427  -0.000278  5.358876e-07   0.022630
2010-01-14  1.160548e-07       0.011137  -0.011407  -0.000268  5.805922e-07   0.022544
2010-01-15  1.249923e-07       0.011072  -0.011387  -0.000258  6.253041e-07   0.022458
2010-01-16  1.339312e-07       0.011007  -0.011366  -0.000248  6.700233e-07   0.022373
2010-01-17  1.428716e-07       0.010941  -0.011346  -0.000238  7.147498e-07   0.022287
2010-01-18  1.518135e-07       0.010876  -0.011325  -0.000228  7.594835e-07   0.022202
2010-01-19  1.607568e-07       0.010811  -0.011305  -0.000218  8.042246e-07   0.022116
2010-01-20  1.697015e-07       0.010746  -0.011284  -0.000208  8.489729e-07   0.022030
2010-01-21  1.786477e-07       0.010681  -0.011264  -0.000199  8.937286e-07   0.021944
2010-01-22  1.875954e-07       0.010615  -0.011244  -0.000189  9.384915e-07   0.021859
2010-01-23  1.965445e-07       0.010550  -0.011223  -0.000179  9.832617e-07   0.021773
2010-01-24  2.054951e-07       0.010485  -0.011203  -0.000169  1.028039e-06   0.021687
2010-01-25  2.144472e-07       0.010419  -0.011182  -0.000160  1.072824e-06   0.021602
2010-01-26  2.234006e-07       0.010354  -0.011162  -0.000150  1.117616e-06   0.021516
2010-01-27  2.323556e-07       0.010289  -0.011141  -0.000140  1.162415e-06   0.021430
2010-01-28  2.413120e-07       0.010224  -0.011121  -0.000131  1.207222e-06   0.021344
2010-01-29  2.502699e-07       0.010158  -0.011100  -0.000121  1.252036e-06   0.021258
2010-01-30  2.592292e-07       0.010093  -0.011079  -0.000111  1.296857e-06   0.021173
2010-01-31  2.681900e-07       0.010028  -0.011059  -0.000102  1.341686e-06   0.021087
2010-02-01  2.771522e-07       0.009963  -0.011038  -0.000092  1.386522e-06   0.021001
2010-02-02  2.861159e-07       0.009897  -0.011018  -0.000083  1.431365e-06   0.020915
2010-02-03  2.950811e-07       0.009832  -0.010997  -0.000073  1.476215e-06   0.020829
2010-02-04  3.040477e-07       0.009767  -0.010977  -0.000064  1.521073e-06   0.020743
2010-02-05  3.130158e-07       0.009701  -0.010956  -0.000054  1.565938e-06   0.020657
2010-02-06  3.219854e-07       0.009636  -0.010936  -0.000045  1.610810e-06   0.020571
2010-02-07  3.309563e-07       0.009571  -0.010915  -0.000035  1.655690e-06   0.020486
2010-02-08  3.399288e-07       0.009505  -0.010894  -0.000026  1.700577e-06   0.020400
2010-02-09  3.489027e-07       0.009440  -0.010874  -0.000017  1.745471e-06   0.020314
2010-02-10  3.578781e-07       0.009375  -0.010853  -0.000007  1.790372e-06   0.020228
2010-02-11  3.668549e-07       0.009309  -0.010832   0.000002  1.835281e-06   0.020142
2010-02-12  3.758332e-07       0.009244  -0.010812   0.000012  1.880197e-06   0.020056
2010-02-13  3.848129e-07       0.009179  -0.010791   0.000021  1.925121e-06   0.019970
2010-02-14  3.937941e-07       0.009113  -0.010770   0.000030  1.970051e-06   0.019884
2010-02-15  4.027768e-07       0.009048  -0.010750   0.000039  2.014989e-06   0.019798
2010-02-16  4.117609e-07       0.008982  -0.010729   0.000049  2.059935e-06   0.019712
2010-02-17  4.207465e-07       0.008917  -0.010708   0.000058  2.104887e-06   0.019625
2010-02-18  4.297335e-07       0.008852  -0.010688   0.000067  2.149847e-06   0.019539
2010-02-19  4.387221e-07       0.008786  -0.010667   0.000076  2.194815e-06   0.019453
2010-02-20  4.477120e-07       0.008721  -0.010646   0.000086  2.239789e-06   0.019367
2010-02-21  4.567034e-07       0.008655  -0.010626   0.000095  2.284771e-06   0.019281
2010-02-22  4.656963e-07       0.008590  -0.010605   0.000104  2.329760e-06   0.019195
2010-02-23  4.746906e-07       0.008525  -0.010584   0.000113  2.374757e-06   0.019109
2010-02-24  4.836864e-07       0.008459  -0.010563   0.000122  2.419760e-06   0.019023
2010-02-25  4.926837e-07       0.008394  -0.010543   0.000131  2.464771e-06   0.018936
2010-02-26  5.016824e-07       0.008328  -0.010522   0.000140  2.509790e-06   0.018850
2010-02-27  5.106826e-07       0.008263  -0.010501   0.000149  2.554815e-06   0.018764
2010-02-28  5.196842e-07       0.008197  -0.010480   0.000158  2.599848e-06   0.018678
2010-03-01  5.286874e-07       0.008132  -0.010460   0.000167  2.644889e-06   0.018592
2010-03-02  5.376919e-07       0.008067  -0.010439   0.000176  2.689936e-06   0.018505
2010-03-03  5.466980e-07       0.008001  -0.010418   0.000185  2.734991e-06   0.018419
2010-03-04  5.557054e-07       0.007936  -0.010397   0.000194  2.780054e-06   0.018333
2010-03-05  5.647144e-07       0.007870  -0.010376   0.000203  2.825123e-06   0.018247
2010-03-06  5.737248e-07       0.007805  -0.010356   0.000212  2.870200e-06   0.018160
2010-03-07  5.827367e-07       0.007739  -0.010335   0.000221  2.915284e-06   0.018074
2010-03-08  5.917500e-07       0.007674  -0.010314   0.000230  2.960376e-06   0.017988
