            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy
2010-01-01   1.365016e-14  1.365016e-14   1.365808e-14  1.364273e-14  1.364996e-14  1.365016e-14
2010-01-02   1.365020e-14  1.365020e-14   1.365808e-14  1.364279e-14  1.365001e-14  1.365020e-14
2010-01-03   1.365025e-14  1.365025e-14   1.365808e-14  1.364284e-14  1.365006e-14  1.365025e-14
2010-01-04   1.365029e-14  1.365029e-14   1.365808e-14  1.364290e-14  1.365011e-14  1.365029e-14
2010-01-05   1.365033e-14  1.365033e-14   1.365808e-14  1.364296e-14  1.365016e-14  1.365033e-14
2010-01-06   1.365038e-14  1.365038e-14   1.365808e-14  1.364301e-14  1.365021e-14  1.365038e-14
2010-01-07   1.365042e-14  1.365042e-14   1.365808e-14  1.364307e-14  1.365026e-14  1.365042e-14
2010-01-08   1.365046e-14  1.365046e-14   1.365808e-14  1.364312e-14  1.365031e-14  1.365046e-14
2010-01-09   1.365051e-14  1.365051e-14   1.365808e-14  1.364318e-14  1.365036e-14  1.365051e-14
2010-01-10   1.365055e-14  1.365055e-14   1.365808e-14  1.364324e-14  1.365041e-14  1.365055e-14
2010-01-11   1.365059e-14  1.365059e-14   1.365808e-14  1.364329e-14  1.365046e-14  1.365059e-14
2010-01-12   1.365064e-14  1.365064e-14   1.365808e-14  1.364335e-14  1.365051e-14  1.365064e-14
2010-01-13   1.365068e-14  1.365068e-14   1.365808e-14  1.364340e-14  1.365056e-14  1.365068e-14
2010-01-14   1.365072e-14  1.365072e-14   1.365808e-14  1.364346e-14  1.365061e-14  1.365072e-14
2010-01-15   1.365076e-14  1.365076e-14   1.365808e-14  1.364351e-14  1.365065e-14  1.365076e-14
2010-01-16   1.365081e-14  1.365081e-14   1.365808e-14  1.364357e-14  1.365070e-14  1.365081e-14
2010-01-17   1.365085e-14  1.365085e-14   1.365808e-14  1.364363e-14  1.365075e-14  1.365085e-14
2010-01-18   1.365089e-14  1.365089e-14   1.365808e-14  1.364368e-14  1.365080e-14  1.365089e-14
2010-01-19   1.365094e-14  1.365094e-14   1.365808e-14  1.364374e-14  1.365085e-14  1.365094e-14
2010-01-20   1.365098e-14  1.365098e-14   1.365808e-14  1.364379e-14  1.365090e-14  1.365098e-14
2010-01-21   1.365102e-14  1.365102e-14   1.365808e-14  1.364385e-14  1.365095e-14  1.365102e-14
2010-01-22   1.365107e-14  1.365107e-14   1.365808e-14  1.364391e-14  1.365100e-14  1.365107e-14
2010-01-23   1.365111e-14  1.365111e-14   1.365808e-14  1.364396e-14  1.365105e-14  1.365111e-14
2010-01-24   1.365115e-14  1.365115e-14   1.365808e-14  1.364402e-14  1.365110e-14  1.365115e-14
2010-01-25   1.365120e-14  1.365120e-14   1.365808e-14  1.364407e-14  1.365115e-14  1.365120e-14
2010-01-26   1.365124e-14  1.365124e-14   1.365808e-14  1.364413e-14  1.365120e-14  1.365124e-14
2010-01-27   1.365128e-14  1.365128e-14   1.365808e-14  1.364419e-14  1.365125e-14  1.365128e-14
2010-01-28   1.365132e-14  1.365132e-14   1.365808e-14  1.364424e-14  1.365129e-14  1.365133e-14
2010-01-29   1.365137e-14  1.365137e-14   1.365808e-14  1.364430e-14  1.365134e-14  1.365137e-14
2010-01-30   1.365141e-14  1.365141e-14   1.365808e-14  1.364435e-14  1.365139e-14  1.365141e-14
2010-01-31   1.365145e-14  1.365145e-14   1.365808e-14  1.364441e-14  1.365144e-14  1.365146e-14
2010-02-01   1.365150e-14  1.365150e-14   1.365808e-14  1.364447e-14  1.365149e-14  1.365150e-14
2010-02-02   1.365154e-14  1.365154e-14   1.365808e-14  1.364452e-14  1.365154e-14  1.365154e-14
2010-02-03   1.365158e-14  1.365158e-14   1.365808e-14  1.364458e-14  1.365159e-14  1.365158e-14
2010-02-04   1.365163e-14  1.365163e-14   1.365808e-14  1.364464e-14  1.365164e-14  1.365163e-14
2010-02-05   1.365167e-14  1.365167e-14   1.365808e-14  1.364469e-14  1.365169e-14  1.365167e-14
2010-02-06   1.365171e-14  1.365171e-14   1.365808e-14  1.364475e-14  1.365174e-14  1.365171e-14
2010-02-07   1.365176e-14  1.365176e-14   1.365808e-14  1.364480e-14  1.365179e-14  1.365176e-14
2010-02-08   1.365180e-14  1.365180e-14   1.365808e-14  1.364486e-14  1.365183e-14  1.365180e-14
2010-02-09   1.365184e-14  1.365184e-14   1.365808e-14  1.364492e-14  1.365188e-14  1.365184e-14
2010-02-10   1.365189e-14  1.365189e-14   1.365808e-14  1.364497e-14  1.365193e-14  1.365189e-14
2010-02-11   1.365193e-14  1.365193e-14   1.365808e-14  1.364503e-14  1.365198e-14  1.365193e-14
2010-02-12   1.365197e-14  1.365197e-14   1.365808e-14  1.364508e-14  1.365203e-14  1.365197e-14
2010-02-13   1.365202e-14  1.365202e-14   1.365808e-14  1.364514e-14  1.365208e-14  1.365202e-14
2010-02-14   1.365206e-14  1.365206e-14   1.365808e-14  1.364520e-14  1.365213e-14  1.365206e-14
2010-02-15   1.365210e-14  1.365210e-14   1.365808e-14  1.364525e-14  1.365218e-14  1.365210e-14
2010-02-16   1.365214e-14  1.365215e-14   1.365808e-14  1.364531e-14  1.365223e-14  1.365215e-14
2010-02-17   1.365219e-14  1.365219e-14   1.365808e-14  1.364537e-14  1.365228e-14  1.365219e-14
2010-02-18   1.365223e-14  1.365223e-14   1.365808e-14  1.364542e-14  1.365233e-14  1.365223e-14
2010-02-19   1.365227e-14  1.365227e-14   1.365808e-14  1.364548e-14  1.365237e-14  1.365228e-14
2010-02-20   1.365232e-14  1.365232e-14   1.365808e-14  1.364553e-14  1.365242e-14  1.365232e-14
2010-02-21   1.365236e-14  1.365236e-14   1.365808e-14  1.364559e-14  1.365247e-14  1.365236e-14
2010-02-22   1.365240e-14  1.365240e-14   1.365808e-14  1.364565e-14  1.365252e-14  1.365241e-14
2010-02-23   1.365245e-14  1.365245e-14   1.365808e-14  1.364570e-14  1.365257e-14  1.365245e-14
2010-02-24   1.365249e-14  1.365249e-14   1.365808e-14  1.364576e-14  1.365262e-14  1.365249e-14
2010-02-25   1.365253e-14  1.365253e-14   1.365808e-14  1.364582e-14  1.365267e-14  1.365254e-14
2010-02-26   1.365258e-14  1.365258e-14   1.365808e-14  1.364587e-14  1.365272e-14  1.365258e-14
2010-02-27   1.365262e-14  1.365262e-14   1.365808e-14  1.364593e-14  1.365277e-14  1.365262e-14
2010-02-28   1.365266e-14  1.365266e-14   1.365808e-14  1.364598e-14  1.365281e-14  1.365267e-14
2010-03-01   1.365271e-14  1.365271e-14   1.365808e-14  1.364604e-14  1.365286e-14  1.365271e-14
2010-03-02   1.365275e-14  1.365275e-14   1.365808e-14  1.364610e-14  1.365291e-14  1.365275e-14
2010-03-03   1.365279e-14  1.365279e-14   1.365808e-14  1.364615e-14  1.365296e-14  1.365280e-14
2010-03-04   1.365284e-14  1.365284e-14   1.365808e-14  1.364621e-14  1.365301e-14  1.365284e-14
2010-03-05   1.365288e-14  1.365288e-14   1.365808e-14  1.364627e-14  1.365306e-14  1.365288e-14
2010-03-06   1.365292e-14  1.365292e-14   1.365808e-14  1.364632e-14  1.365311e-14  1.365292e-14
2010-03-07   1.365297e-14  1.365297e-14   1.365808e-14  1.364638e-14  1.365316e-14  1.365297e-14
2010-03-08   1.365301e-14  1.365301e-14   1.365808e-14  1.364644e-14  1.365321e-14  1.365301e-14
2010-03-09   1.365305e-14  1.365305e-14   1.365808e-14  1.364649e-14  1.365325e-14  1.365305e-14
2010-03-10   1.365310e-14  1.365310e-14   1.365808e-14  1.364655e-14  1.365330e-14  1.365310e-14
2010-03-11   1.365314e-14  1.365314e-14   1.365808e-14  1.364660e-14  1.365335e-14  1.365314e-14
2010-03-12   1.365318e-14  1.365318e-14   1.365808e-14  1.364666e-14  1.365340e-14  1.365318e-14
2010-03-13   1.365323e-14  1.365323e-14   1.365808e-14  1.364672e-14  1.365345e-14  1.365323e-14
2010-03-14   1.365327e-14  1.365327e-14   1.365808e-14  1.364677e-14  1.365350e-14  1.365327e-14
2010-03-15   1.365331e-14  1.365331e-14   1.365808e-14  1.364683e-14  1.365355e-14  1.365331e-14
2010-03-16   1.365336e-14  1.365336e-14   1.365808e-14  1.364689e-14  1.365360e-14  1.365336e-14
2010-03-17   1.365340e-14  1.365340e-14   1.365808e-14  1.364694e-14  1.365364e-14  1.365340e-14
2010-03-18   1.365344e-14  1.365344e-14   1.365808e-14  1.364700e-14  1.365369e-14  1.365344e-14
2010-03-19   1.365349e-14  1.365349e-14   1.365808e-14  1.364706e-14  1.365374e-14  1.365349e-14
2010-03-20   1.365353e-14  1.365353e-14   1.365808e-14  1.364711e-14  1.365379e-14  1.365353e-14
2010-03-21   1.365357e-14  1.365357e-14   1.365808e-14  1.364717e-14  1.365384e-14  1.365357e-14
2010-03-22   1.365362e-14  1.365362e-14   1.365808e-14  1.364723e-14  1.365389e-14  1.365362e-14
2010-03-23   1.365366e-14  1.365366e-14   1.365808e-14  1.364728e-14  1.365394e-14  1.365366e-14
2010-03-24   1.365370e-14  1.365370e-14   1.365808e-14  1.364734e-14  1.365399e-14  1.365370e-14
2010-03-25   1.365375e-14  1.365375e-14   1.365808e-14  1.364740e-14  1.365403e-14  1.365375e-14
2010-03-26   1.365379e-14  1.365379e-14   1.365808e-14  1.364745e-14  1.365408e-14  1.365379e-14
2010-03-27   1.365383e-14  1.365383e-14   1.365808e-14  1.364751e-14  1.365413e-14  1.365383e-14
2010-03-28   1.365388e-14  1.365388e-14   1.365808e-14  1.364756e-14  1.365418e-14  1.365388e-14
2010-03-29   1.365392e-14  1.365392e-14   1.365808e-14  1.364762e-14  1.365423e-14  1.365392e-14
2010-03-30   1.365396e-14  1.365396e-14   1.365808e-14  1.364768e-14  1.365428e-14  1.365396e-14
2010-03-31   1.365401e-14  1.365401e-14   1.365808e-14  1.364773e-14  1.365433e-14  1.365401e-14
2010-04-01   1.365405e-14  1.365405e-14   1.365808e-14  1.364779e-14  1.365437e-14  1.365405e-14
2010-04-02   1.365409e-14  1.365409e-14   1.365808e-14  1.364785e-14  1.365442e-14  1.365410e-14
2010-04-03   1.365414e-14  1.365414e-14   1.365808e-14  1.364790e-14  1.365447e-14  1.365414e-14
