                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy      pyspedas  |max-min|
2010-01-01  6.956046e-03      -0.025411   0.002442  -0.001752  0.002552  1.038157e-06   0.032367
2010-01-02  6.916565e-03      -0.025240   0.002272  -0.001929  0.002423  1.031035e-06   0.032157
2010-01-03  6.873252e-03      -0.025067   0.002114  -0.002092  0.002301  1.023560e-06   0.031941
2010-01-04  6.826181e-03      -0.024892   0.001976  -0.002235  0.002192  1.015748e-06   0.031718
2010-01-05  6.775433e-03      -0.024715   0.001865  -0.002351  0.002103  1.007597e-06   0.031490
2010-01-06  6.721097e-03      -0.024535   0.001783  -0.002436  0.002038  9.991240e-07   0.031257
2010-01-07  6.663262e-03      -0.024354   0.001732  -0.002491  0.002002  9.903392e-07   0.031017
2010-01-08  6.602026e-03      -0.024171   0.001713  -0.002514  0.001997  9.812538e-07   0.030773
2010-01-09  6.537489e-03      -0.023985   0.001722  -0.002507  0.002023  9.718789e-07   0.030523
2010-01-10  6.469757e-03      -0.023798   0.001757  -0.002474  0.002078  9.622256e-07   0.030268
2010-01-11  6.398939e-03      -0.023610   0.001814  -0.002419  0.002159  9.523054e-07   0.030009
2010-01-12  6.325146e-03      -0.023420   0.001889  -0.002345  0.002260  9.421292e-07   0.029745
2010-01-13  6.248494e-03      -0.023228   0.001977  -0.002257  0.002377  9.317086e-07   0.029476
2010-01-14  6.169101e-03      -0.023035   0.002074  -0.002161  0.002503  9.210549e-07   0.029204
2010-01-15  6.087087e-03      -0.022840   0.002174  -0.002061  0.002633  9.101790e-07   0.028927
2010-01-16  6.002575e-03      -0.022645   0.002274  -0.001961  0.002759  8.990924e-07   0.028647
2010-01-17  5.915689e-03      -0.022448   0.002368  -0.001866  0.002877  8.878059e-07   0.028363
2010-01-18  5.826556e-03      -0.022250   0.002453  -0.001780  0.002982  8.763302e-07   0.028076
2010-01-19  5.735300e-03      -0.022051   0.002525  -0.001706  0.003069  8.646768e-07   0.027786
2010-01-20  5.642051e-03      -0.021851   0.002581  -0.001647  0.003137  8.528557e-07   0.027493
2010-01-21  5.546936e-03      -0.021651   0.002619  -0.001606  0.003183  8.408774e-07   0.027198
2010-01-22  5.450084e-03      -0.021450   0.002638  -0.001585  0.003206  8.287521e-07   0.026900
2010-01-23  5.351621e-03      -0.021248   0.002635  -0.001585  0.003208  8.164898e-07   0.026599
2010-01-24  5.251677e-03      -0.021045   0.002610  -0.001606  0.003188  8.041002e-07   0.026297
2010-01-25  5.150378e-03      -0.020843   0.002564  -0.001648  0.003149  7.915929e-07   0.025993
2010-01-26  5.047850e-03      -0.020639   0.002497  -0.001711  0.003094  7.789770e-07   0.025687
2010-01-27  4.944219e-03      -0.020436   0.002413  -0.001790  0.003027  7.662614e-07   0.025380
