            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas
2010-01-01   3.897474e-15  3.897608e-15   3.897132e-15  3.897521e-15  3.897440e-15  3.897523e-15  3.897474e-15
2010-01-02   3.904290e-15  3.904428e-15   3.903937e-15  3.904335e-15  3.904252e-15  3.904338e-15  3.904290e-15
2010-01-03   3.911267e-15  3.911408e-15   3.910902e-15  3.911310e-15  3.911224e-15  3.911314e-15  3.911267e-15
2010-01-04   3.918398e-15  3.918542e-15   3.918022e-15  3.918440e-15  3.918351e-15  3.918444e-15  3.918398e-15
2010-01-05   3.925678e-15  3.925824e-15   3.925291e-15  3.925718e-15  3.925627e-15  3.925723e-15  3.925678e-15
2010-01-06   3.933100e-15  3.933249e-15   3.932702e-15  3.933139e-15  3.933046e-15  3.933145e-15  3.933100e-15
2010-01-07   3.940658e-15  3.940810e-15   3.940250e-15  3.940698e-15  3.940601e-15  3.940704e-15  3.940658e-15
2010-01-08   3.948346e-15  3.948500e-15   3.947927e-15  3.948386e-15  3.948287e-15  3.948392e-15  3.948346e-15
2010-01-09   3.956156e-15  3.956313e-15   3.955728e-15  3.956198e-15  3.956096e-15  3.956205e-15  3.956156e-15
2010-01-10   3.964083e-15  3.964242e-15   3.963645e-15  3.964126e-15  3.964022e-15  3.964134e-15  3.964083e-15
2010-01-11   3.972118e-15  3.972280e-15   3.971671e-15  3.972164e-15  3.972057e-15  3.972173e-15  3.972118e-15
2010-01-12   3.980255e-15  3.980419e-15   3.979799e-15  3.980304e-15  3.980195e-15  3.980314e-15  3.980256e-15
2010-01-13   3.988487e-15  3.988652e-15   3.988021e-15  3.988539e-15  3.988427e-15  3.988550e-15  3.988487e-15
2010-01-14   3.996805e-15  3.996972e-15   3.996331e-15  3.996861e-15  3.996747e-15  3.996873e-15  3.996805e-15
2010-01-15   4.005203e-15  4.005371e-15   4.004720e-15  4.005263e-15  4.005146e-15  4.005275e-15  4.005203e-15
