            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      12.308994  12.315950      12.283583  12.311436  12.307242  12.311546  12.308995
2010-01-02      12.657628  12.664545      12.632388  12.659900  12.655699  12.660051  12.657629
2010-01-03      13.003899  13.010773      12.978832  13.006013  13.001807  13.006200  13.003900
2010-01-04      13.347669  13.354495      13.322777  13.349645  13.345435  13.349862  13.347670
2010-01-05      13.688803  13.695578      13.664088  13.690667  13.686452  13.690906  13.688804
2010-01-06      14.027167  14.033889      14.002632  14.028950  14.024731  14.029206  14.027168
2010-01-07      14.362636  14.369299      14.338282  14.364369  14.360145  14.364638  14.362637
2010-01-08      14.695084  14.701686      14.670914  14.696797  14.692571  14.697081  14.695085
2010-01-09      15.024392  15.030929      15.000406  15.026114  15.021885  15.026415  15.024393
2010-01-10      15.350442  15.356912      15.326644  15.352199  15.347968  15.352520  15.350443
2010-01-11      15.673123  15.679522      15.649513  15.674937  15.670704  15.675281  15.673124
2010-01-12      15.992325  15.998651      15.968906  15.994215  15.989981  15.994586  15.992326
2010-01-13      16.307946  16.314194      16.284718  16.309923  16.305688  16.310323  16.307947
2010-01-14      16.619883  16.626052      16.596848  16.621957  16.617722  16.622386  16.619884
2010-01-15      16.928041  16.934129      16.905201  16.930216  16.925981  16.930674  16.928042
2010-01-16      17.232329  17.238331      17.209684  17.234602  17.230368  17.235088  17.232330
2010-01-17      17.532657  17.538572      17.510209  17.535024  17.530791  17.535533  17.532657
2010-01-18      17.828941  17.834768      17.806691  17.831394  17.827162  17.831923  17.828942
2010-01-19      18.121102  18.126837      18.099051  18.123627  18.119396  18.124171  18.121103
2010-01-20      18.409064  18.414706      18.387212  18.411645  18.407417  18.412201  18.409065
2010-01-21      18.692753  18.698300      18.671103  18.695373  18.691147  18.695936  18.692754
2010-01-22      18.972103  18.977553      18.950654  18.974741  18.970518  18.975310  18.972104
2010-01-23      19.247048  19.252400      19.225801  19.249683  19.245463  19.250256  19.247049
2010-01-24      19.517528  19.522780      19.496483  19.520138  19.515922  19.520716  19.517529
2010-01-25      19.783486  19.788636      19.762643  19.786049  19.781837  19.786635  19.783486
2010-01-26      20.044867  20.049915      20.024228  20.047364  20.043157  20.047961  20.044868
2010-01-27      20.301622  20.306567      20.281187  20.304036  20.299832  20.304649  20.301623
2010-01-28      20.553705  20.558545      20.533473  20.556020  20.551822  20.556655  20.553706
2010-01-29      20.801072  20.805806      20.781043  20.803279  20.799086  20.803938  20.801072
2010-01-30      21.043682  21.048310      21.023858  21.045778  21.041590  21.046460  21.043683
2010-01-31      21.281499  21.286021      21.261879  21.283486  21.279304  21.284187  21.281500
2010-02-01      21.514489  21.518903      21.495073  21.516375  21.512200  21.517087  21.514490
2010-02-02      21.742621  21.746927      21.723408  21.744420  21.740250  21.745135  21.742622
2010-02-03      21.965866  21.970064      21.946857  21.967595  21.963432  21.968307  21.965867
2010-02-04      22.184199  22.188289      22.165393  22.185877  22.181721  22.186583  22.184200
2010-02-05      22.397596  22.401578      22.378993  22.399244  22.395095  22.399942  22.397597
2010-02-06      22.606038  22.609911      22.587637  22.607675  22.603533  22.608368  22.606038
2010-02-07      22.809505  22.813271      22.791307  22.811151  22.807016  22.811840  22.809506
2010-02-08      23.007982  23.011640      22.989985  23.009653  23.005526  23.010343  23.007983
2010-02-09      23.201456  23.205006      23.183660  23.203166  23.199047  23.203859  23.201456
2010-02-10      23.389914  23.393357      23.372318  23.391675  23.387564  23.392374  23.389914
2010-02-11      23.573346  23.576683      23.555950  23.575168  23.571064  23.575874  23.573346
2010-02-12      23.751745  23.754975      23.734548  23.753633  23.749537  23.754346  23.751745
2010-02-13      23.925103  23.928229      23.908105  23.927062  23.922974  23.927780  23.925104
2010-02-14      24.093418  24.096439      24.076617  24.095447  24.091368  24.096168  24.093419
