             spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-01-01 -0.013949      -0.032529  -0.037113  -0.052200 -0.005297   0.052200
2010-01-02 -0.013988      -0.032385  -0.036646  -0.051704 -0.004939   0.051704
2010-01-03 -0.014021      -0.032241  -0.036200  -0.051229 -0.004601   0.051229
2010-01-04 -0.014049      -0.032096  -0.035793  -0.050792 -0.004304   0.050792
2010-01-05 -0.014076      -0.031949  -0.035440  -0.050409 -0.004066   0.050409
2010-01-06 -0.014103      -0.031802  -0.035151  -0.050088 -0.003897   0.050088
2010-01-07 -0.014131      -0.031654  -0.034932  -0.049838 -0.003805   0.049838
2010-01-08 -0.014160      -0.031505  -0.034784  -0.049658 -0.003789   0.049658
2010-01-09 -0.014187      -0.031354  -0.034706  -0.049546 -0.003847   0.049546
2010-01-10 -0.014213      -0.031203  -0.034692  -0.049498 -0.003971   0.049498
2010-01-11 -0.014235      -0.031050  -0.034734  -0.049506 -0.004153   0.049506
2010-01-12 -0.014253      -0.030897  -0.034823  -0.049560 -0.004383   0.049560
2010-01-13 -0.014264      -0.030742  -0.034950  -0.049651 -0.004649   0.049651
2010-01-14 -0.014269      -0.030586  -0.035102  -0.049766 -0.004940   0.049766
2010-01-15 -0.014267      -0.030430  -0.035267  -0.049895 -0.005244   0.049895
2010-01-16 -0.014259      -0.030272  -0.035435  -0.050024 -0.005549   0.050024
2010-01-17 -0.014246      -0.030113  -0.035592  -0.050143 -0.005844   0.050143
2010-01-18 -0.014229      -0.029953  -0.035728  -0.050240 -0.006120   0.050240
2010-01-19 -0.014208      -0.029792  -0.035831  -0.050304 -0.006366   0.050304
2010-01-20 -0.014185      -0.029629  -0.035892  -0.050324 -0.006573   0.050324
2010-01-21 -0.014161      -0.029466  -0.035902  -0.050293 -0.006733   0.050293
2010-01-22 -0.014137      -0.029302  -0.035853  -0.050203 -0.006840   0.050203
2010-01-23 -0.014113      -0.029136  -0.035739  -0.050047 -0.006887   0.050047
2010-01-24 -0.014090      -0.028970  -0.035556  -0.049821 -0.006870   0.049821
2010-01-25 -0.014065      -0.028803  -0.035303  -0.049524 -0.006787   0.049524
2010-01-26 -0.014039      -0.028634  -0.034979  -0.049157 -0.006636   0.049157
2010-01-27 -0.014008      -0.028465  -0.034590  -0.048724 -0.006421   0.048724
2010-01-28 -0.013971      -0.028294  -0.034146  -0.048234 -0.006149   0.048234
2010-01-29 -0.013925      -0.028123  -0.033658  -0.047701 -0.005832   0.047701
2010-01-30 -0.013871      -0.027951  -0.033146  -0.047143 -0.005486   0.047143
2010-01-31 -0.013809      -0.027778  -0.032629  -0.046580 -0.005134   0.046580
2010-02-01 -0.013743      -0.027604  -0.032128  -0.046032 -0.004798   0.046032
2010-02-02 -0.013675      -0.027429  -0.031662  -0.045518 -0.004502   0.045518
2010-02-03 -0.013608      -0.027253  -0.031246  -0.045054 -0.004260   0.045054
2010-02-04 -0.013543      -0.027077  -0.030892  -0.044652 -0.004085   0.044652
2010-02-05 -0.013479      -0.026900  -0.030605  -0.044316 -0.003983   0.044316
2010-02-06 -0.013414      -0.026722  -0.030389  -0.044051 -0.003954   0.044051
2010-02-07 -0.013348      -0.026543  -0.030241  -0.043853 -0.003994   0.043853
2010-02-08 -0.013278      -0.026364  -0.030158  -0.043721 -0.004100   0.043721
2010-02-09 -0.013204      -0.026184  -0.030133  -0.043646 -0.004262   0.043646
2010-02-10 -0.013123      -0.026004  -0.030160  -0.043623 -0.004474   0.043623
2010-02-11 -0.013037      -0.025823  -0.030230  -0.043642 -0.004725   0.043642
2010-02-12 -0.012945      -0.025642  -0.030332  -0.043693 -0.005006   0.043693
2010-02-13 -0.012846      -0.025460  -0.030456  -0.043766 -0.005307   0.043766
2010-02-14 -0.012743      -0.025277  -0.030590  -0.043849 -0.005616   0.043849
2010-02-15 -0.012636      -0.025095  -0.030724  -0.043931 -0.005925   0.043931
2010-02-16 -0.012527      -0.024912  -0.030845  -0.044001 -0.006221   0.044001
2010-02-17 -0.012417      -0.024728  -0.030942  -0.044046 -0.006496   0.044046
2010-02-18 -0.012307      -0.024544  -0.031005  -0.044057 -0.006738   0.044057
2010-02-19 -0.012198      -0.024361  -0.031022  -0.044023 -0.006939   0.044023
2010-02-20 -0.012091      -0.024176  -0.030986  -0.043935 -0.007089   0.043935
2010-02-21 -0.011985      -0.023992  -0.030889  -0.043787 -0.007181   0.043787
2010-02-22 -0.011881      -0.023808  -0.030726  -0.043571 -0.007209   0.043571
2010-02-23 -0.011775      -0.023623  -0.030492  -0.043286 -0.007168   0.043286
2010-02-24 -0.011667      -0.023439  -0.030190  -0.042932 -0.007056   0.042932
2010-02-25 -0.011553      -0.023254  -0.029822  -0.042512 -0.006875   0.042512
2010-02-26 -0.011433      -0.023070  -0.029397  -0.042036 -0.006631   0.042036
2010-02-27 -0.011305      -0.022885  -0.028927  -0.041516 -0.006337   0.041516
2010-02-28 -0.011170      -0.022701  -0.028431  -0.040969 -0.006011   0.040969
2010-03-01 -0.011032      -0.022516  -0.027927  -0.040414 -0.005675   0.040414
2010-03-02 -0.010894      -0.022332  -0.027435  -0.039871 -0.005351   0.039871
2010-03-03 -0.010758      -0.022148  -0.026974  -0.039360 -0.005059   0.039360
2010-03-04 -0.010625      -0.021965  -0.026558  -0.038895 -0.004817   0.038895
2010-03-05 -0.010496      -0.021781  -0.026201  -0.038488 -0.004634   0.038488
2010-03-06 -0.010368      -0.021598  -0.025907  -0.038146 -0.004516   0.038146
2010-03-07 -0.010241      -0.021415  -0.025682  -0.037872 -0.004465   0.037872
2010-03-08 -0.010111      -0.021233  -0.025526  -0.037667 -0.004480   0.037667
2010-03-09 -0.009979      -0.021051  -0.025435  -0.037529 -0.004556   0.037529
2010-03-10 -0.009843      -0.020869  -0.025406  -0.037453 -0.004690   0.037453
2010-03-11 -0.009703      -0.020688  -0.025433  -0.037434 -0.004873   0.037434
2010-03-12 -0.009558      -0.020507  -0.025509  -0.037464 -0.005100   0.037464
2010-03-13 -0.009409      -0.020326  -0.025625  -0.037535 -0.005361   0.037535
2010-03-14 -0.009257      -0.020146  -0.025772  -0.037637 -0.005648   0.037637
2010-03-15 -0.009103      -0.019967  -0.025940  -0.037761 -0.005952   0.037761
2010-03-16 -0.008948      -0.019788  -0.026118  -0.037895 -0.006262   0.037895
2010-03-17 -0.008793      -0.019609  -0.026293  -0.038028 -0.006568   0.038028
2010-03-18 -0.008641      -0.019431  -0.026454  -0.038147 -0.006859   0.038147
2010-03-19 -0.008492      -0.019254  -0.026589  -0.038241 -0.007125   0.038241
2010-03-20 -0.008347      -0.019077  -0.026687  -0.038299 -0.007355   0.038299
2010-03-21 -0.008206      -0.018901  -0.026738  -0.038311 -0.007538   0.038311
2010-03-22 -0.008068      -0.018725  -0.026734  -0.038268 -0.007665   0.038268
2010-03-23 -0.007932      -0.018550  -0.026668  -0.038165 -0.007728   0.038165
2010-03-24 -0.007794      -0.018376  -0.026536  -0.037997 -0.007722   0.037997
2010-03-25 -0.007654      -0.018202  -0.026340  -0.037764 -0.007645   0.037764
2010-03-26 -0.007508      -0.018029  -0.026082  -0.037471 -0.007497   0.037471
2010-03-27 -0.007357      -0.017856  -0.025769  -0.037125 -0.007287   0.037125
2010-03-28 -0.007202      -0.017684  -0.025415  -0.036738 -0.007027   0.036738
2010-03-29 -0.007043      -0.017512  -0.025035  -0.036326 -0.006734   0.036326
2010-03-30 -0.006885      -0.017342  -0.024645  -0.035905 -0.006428   0.035905
2010-03-31 -0.006731      -0.017171  -0.024265  -0.035495 -0.006130   0.035495
2010-04-01 -0.006581      -0.017001  -0.023910  -0.035112 -0.005858   0.035112
2010-04-02 -0.006437      -0.016832  -0.023595  -0.034769 -0.005625   0.034769
2010-04-03 -0.006296      -0.016664  -0.023332  -0.034479 -0.005442   0.034479
2010-04-04 -0.006159      -0.016496  -0.023127  -0.034249 -0.005315   0.034249
2010-04-05 -0.006022      -0.016328  -0.022985  -0.034083 -0.005247   0.034083
2010-04-06 -0.005884      -0.016161  -0.022908  -0.033983 -0.005237   0.033983
2010-04-07 -0.005744      -0.015994  -0.022895  -0.033948 -0.005284   0.033948
2010-04-08 -0.005602      -0.015828  -0.022944  -0.033977 -0.005386   0.033977
2010-04-09 -0.005456      -0.015663  -0.023051  -0.034064 -0.005537   0.034064
2010-04-10 -0.005308      -0.015498  -0.023210  -0.034205 -0.005732   0.034205
2010-04-11 -0.005157      -0.015333  -0.023415  -0.034393 -0.005965   0.034393
2010-04-12 -0.005005      -0.015169  -0.023657  -0.034619 -0.006228   0.034619
2010-04-13 -0.004853      -0.015005  -0.023927  -0.034874 -0.006513   0.034874
2010-04-14 -0.004702      -0.014841  -0.024215  -0.035148 -0.006811   0.035148
2010-04-15 -0.004555      -0.014678  -0.024508  -0.035429 -0.007112   0.035429
