            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy
2010-01-01   2.780801e-14  2.782496e-14   2.784987e-14  2.785393e-14  2.787292e-14  2.781435e-14
2010-01-02   2.785586e-14  2.787284e-14   2.789749e-14  2.790112e-14  2.792005e-14  2.786175e-14
2010-01-03   2.790781e-14  2.792480e-14   2.794920e-14  2.795244e-14  2.797130e-14  2.791328e-14
2010-01-04   2.796388e-14  2.798087e-14   2.800502e-14  2.800791e-14  2.802670e-14  2.796897e-14
2010-01-05   2.802407e-14  2.804107e-14   2.806496e-14  2.806758e-14  2.808630e-14  2.802886e-14
2010-01-06   2.808840e-14  2.810540e-14   2.812905e-14  2.813146e-14  2.815011e-14  2.809298e-14
2010-01-07   2.815690e-14  2.817390e-14   2.819728e-14  2.819959e-14  2.821815e-14  2.816135e-14
2010-01-08   2.822956e-14  2.824656e-14   2.826968e-14  2.827196e-14  2.829045e-14  2.823399e-14
2010-01-09   2.830639e-14  2.832340e-14   2.834625e-14  2.834859e-14  2.836699e-14  2.831088e-14
2010-01-10   2.838741e-14  2.840441e-14   2.842700e-14  2.842947e-14  2.844779e-14  2.839205e-14
2010-01-11   2.847262e-14  2.848960e-14   2.851192e-14  2.851461e-14  2.853284e-14  2.847746e-14
2010-01-12   2.856202e-14  2.857898e-14   2.860103e-14  2.860398e-14  2.862212e-14  2.856713e-14
2010-01-13   2.865560e-14  2.867253e-14   2.869431e-14  2.869757e-14  2.871561e-14  2.866101e-14
2010-01-14   2.875335e-14  2.877024e-14   2.879177e-14  2.879536e-14  2.881330e-14  2.875911e-14
2010-01-15   2.885528e-14  2.887211e-14   2.889338e-14  2.889733e-14  2.891516e-14  2.886138e-14
2010-01-16   2.896136e-14  2.897812e-14   2.899914e-14  2.900343e-14  2.902116e-14  2.896780e-14
2010-01-17   2.907156e-14  2.908825e-14   2.910902e-14  2.911365e-14  2.913125e-14  2.907833e-14
2010-01-18   2.918587e-14  2.920247e-14   2.922299e-14  2.922792e-14  2.924541e-14  2.919294e-14
2010-01-19   2.930425e-14  2.932075e-14   2.934101e-14  2.934621e-14  2.936357e-14  2.931157e-14
2010-01-20   2.942665e-14  2.944305e-14   2.946306e-14  2.946847e-14  2.948569e-14  2.943419e-14
2010-01-21   2.955304e-14  2.956933e-14   2.958907e-14  2.959463e-14  2.961171e-14  2.956073e-14
2010-01-22   2.968334e-14  2.969953e-14   2.971900e-14  2.972463e-14  2.974157e-14  2.969112e-14
2010-01-23   2.981751e-14  2.983358e-14   2.985277e-14  2.985839e-14  2.987519e-14  2.982530e-14
2010-01-24   2.995546e-14  2.997140e-14   2.999031e-14  2.999585e-14  3.001248e-14  2.996318e-14
2010-01-25   3.009711e-14  3.011292e-14   3.013153e-14  3.013691e-14  3.015337e-14  3.010469e-14
2010-01-26   3.024237e-14  3.025804e-14   3.027635e-14  3.028147e-14  3.029777e-14  3.024972e-14
2010-01-27   3.039112e-14  3.040663e-14   3.042464e-14  3.042945e-14  3.044556e-14  3.039817e-14
2010-01-28   3.054324e-14  3.055859e-14   3.057630e-14  3.058072e-14  3.059664e-14  3.054994e-14
