            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy
2010-01-01      99.601555  99.587606      99.569026  99.564443  99.549356  99.596258
2010-01-02      99.553964  99.539976      99.521579  99.517319  99.502260  99.549026
2010-01-03      99.503238  99.489216      99.470997  99.467038  99.452008  99.498637
2010-01-04      99.449361  99.435311      99.417265  99.413568  99.398569  99.445057
2010-01-05      99.392320  99.378244      99.360371  99.356880  99.341912  99.388255
2010-01-06      99.332101  99.317998      99.300299  99.296950  99.282013  99.328204
2010-01-07      99.268689  99.254558      99.237035  99.233757  99.218851  99.264884
2010-01-08      99.202068  99.187908      99.170563  99.167283  99.152410  99.198279
2010-01-09      99.132223  99.118035      99.100868  99.097517  99.082676  99.128376
2010-01-10      99.059138  99.044925      99.027935  99.024446  99.009640  99.055167
2010-01-11      98.982797  98.968562      98.951747  98.948064  98.933292  98.978644
2010-01-12      98.903185  98.888932      98.872288  98.868362  98.853625  98.898802
2010-01-13      98.820285  98.806021      98.789543  98.785336  98.770635  98.815636
2010-01-14      98.734082  98.719813      98.703495  98.698980  98.684316  98.729142
2010-01-15      98.644558  98.630291      98.614129  98.609291  98.594664  98.639315
2010-01-16      98.551699  98.537440      98.521428  98.516265  98.501675  98.546151
2010-01-17      98.455489  98.441243      98.425376  98.419897  98.405346  98.449645
2010-01-18      98.355912  98.341684      98.325959  98.320185  98.305672  98.349792
2010-01-19      98.252953  98.238746      98.223162  98.217122  98.202650  98.246588
2010-01-20      98.146598  98.132413      98.116968  98.110706  98.096273  98.140025
2010-01-21      98.036831  98.022669      98.007364  98.000929  97.986537  98.030098
2010-01-22      97.923639  97.909501      97.894337  97.887786  97.873436  97.916799
2010-01-23      97.807008  97.792895      97.777872  97.771269  97.756961  97.800121
2010-01-24      97.686926  97.672837      97.657956  97.651370  97.637105  97.680056
2010-01-25      97.563381  97.549316      97.534578  97.528078  97.513857  97.556594
2010-01-26      97.436361  97.422322      97.407727  97.401382  97.387204  97.429725
2010-01-27      97.305855  97.291847      97.277391  97.271265  97.257132  97.299434
2010-01-28      97.171855  97.157884      97.143560  97.137709  97.123621  97.165706
2010-01-29      97.034350  97.020425      97.006227  97.000692  96.986649  97.028519
2010-01-30      96.893334  96.879463      96.865383  96.860187  96.846190  96.887848
2010-01-31      96.748798  96.734989      96.721021  96.716169  96.702219  96.743664
2010-02-01      96.600738  96.586995      96.573135  96.568610  96.554707  96.595940
2010-02-02      96.449149  96.435474      96.421720  96.417487  96.403631  96.444648
2010-02-03      96.294028  96.280420      96.266774  96.262781  96.248973  96.289768
2010-02-04      96.135371  96.121828      96.108294  96.104479  96.090719  96.131286
2010-02-05      95.973179  95.959700      95.946279  95.942574  95.928863  95.969196
2010-02-06      95.807452  95.794038      95.780730  95.777063  95.763401  95.803498
2010-02-07      95.638191  95.624843      95.611648  95.607951  95.594338  95.634197
2010-02-08      95.465401  95.452122      95.439037  95.435243  95.421680  95.461301
2010-02-09      95.289085  95.275881      95.262901  95.258952  95.245439  95.284823
2010-02-10      95.109251  95.096127      95.083247  95.079090  95.065628  95.104777
2010-02-11      94.925906  94.912869      94.900083  94.895676  94.882264  94.921181
2010-02-12      94.739060  94.726115      94.713418  94.708728  94.695367  94.734054
2010-02-13      94.548724  94.535878      94.523265  94.518269  94.504958  94.543418
2010-02-14      94.354912  94.342169      94.329635  94.324322  94.311063  94.349296
2010-02-15      94.157638  94.145002      94.132543  94.126914  94.113707  94.151713
2010-02-16      93.956919  93.944391      93.932007  93.926074  93.912918  93.950698
2010-02-17      93.752773  93.740356      93.728045  93.721831  93.708726  93.746277
2010-02-18      93.545220  93.532913      93.520676  93.514216  93.501163  93.538482
2010-02-19      93.334284  93.322086      93.309923  93.303261  93.290261  93.327345
2010-02-20      93.119987  93.107896      93.095811  93.089001  93.076052  93.112898
2010-02-21      92.902356  92.890371      92.878364  92.871467  92.858570  92.895175
2010-02-22      92.681420  92.669539      92.657612  92.650694  92.637848  92.674211
2010-02-23      92.457207  92.445432      92.433584  92.426715  92.413921  92.450039
2010-02-24      92.229751  92.218084      92.206312  92.199561  92.186819  92.222695
