             spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-01-01 -0.017307      -0.027079  -0.041050  -0.055921  0.003100   0.059021
2010-01-02 -0.017389      -0.026942  -0.040636  -0.055499  0.003526   0.059025
2010-01-03 -0.017463      -0.026809  -0.040246  -0.055102  0.003930   0.059032
2010-01-04 -0.017528      -0.026679  -0.039904  -0.054753  0.004287   0.059040
2010-01-05 -0.017587      -0.026553  -0.039626  -0.054468  0.004578   0.059047
2010-01-06 -0.017641      -0.026431  -0.039425  -0.054261  0.004791   0.059052
2010-01-07 -0.017693      -0.026313  -0.039308  -0.054139  0.004915   0.059054
2010-01-08 -0.017741      -0.026198  -0.039276  -0.054102  0.004950   0.059052
2010-01-09 -0.017786      -0.026086  -0.039328  -0.054149  0.004899   0.059048
2010-01-10 -0.017826      -0.025977  -0.039457  -0.054273  0.004767   0.059041
2010-01-11 -0.017861      -0.025872  -0.039654  -0.054467  0.004565   0.059032
2010-01-12 -0.017889      -0.025770  -0.039909  -0.054718  0.004305   0.059023
2010-01-13 -0.017910      -0.025670  -0.040209  -0.055015  0.003998   0.059013
2010-01-14 -0.017923      -0.025573  -0.040541  -0.055344  0.003661   0.059004
2010-01-15 -0.017928      -0.025479  -0.040891  -0.055691  0.003306   0.058996
2010-01-16 -0.017924      -0.025388  -0.041244  -0.056042  0.002948   0.058989
2010-01-17 -0.017913      -0.025299  -0.041586  -0.056382  0.002601   0.058983
2010-01-18 -0.017895      -0.025212  -0.041904  -0.056699  0.002278   0.058977
2010-01-19 -0.017870      -0.025127  -0.042186  -0.056979  0.001991   0.058970
2010-01-20 -0.017839      -0.025044  -0.042418  -0.057210  0.001752   0.058962
2010-01-21 -0.017805      -0.024964  -0.042591  -0.057383  0.001569   0.058952
2010-01-22 -0.017766      -0.024885  -0.042696  -0.057487  0.001453   0.058940
2010-01-23 -0.017725      -0.024807  -0.042725  -0.057516  0.001407   0.058923
2010-01-24 -0.017681      -0.024732  -0.042673  -0.057464  0.001439   0.058903
2010-01-25 -0.017634      -0.024658  -0.042538  -0.057329  0.001549   0.058878
2010-01-26 -0.017585      -0.024585  -0.042320  -0.057113  0.001738   0.058851
2010-01-27 -0.017531      -0.024513  -0.042027  -0.056820  0.002001   0.058820
2010-01-28 -0.017471      -0.024442  -0.041667  -0.056461  0.002328   0.058789
