            geopack_08_dp       spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy
2010-01-01   3.145664e-14  3.147685e-14   3.148857e-14  3.150458e-14  3.152197e-14  3.145300e-14
2010-01-02   3.162252e-14  3.164264e-14   3.165400e-14  3.166954e-14  3.168676e-14  3.161841e-14
2010-01-03   3.178997e-14  3.181000e-14   3.182099e-14  3.183609e-14  3.185313e-14  3.178544e-14
2010-01-04   3.195872e-14  3.197861e-14   3.198927e-14  3.200397e-14  3.202082e-14  3.195382e-14
2010-01-05   3.212846e-14  3.214821e-14   3.215853e-14  3.217289e-14  3.218955e-14  3.212329e-14
2010-01-06   3.229891e-14  3.231848e-14   3.232848e-14  3.234258e-14  3.235903e-14  3.229356e-14
2010-01-07   3.246976e-14  3.248915e-14   3.249883e-14  3.251275e-14  3.252898e-14  3.246435e-14
2010-01-08   3.264073e-14  3.265991e-14   3.266927e-14  3.268309e-14  3.269909e-14  3.263535e-14
2010-01-09   3.281151e-14  3.283047e-14   3.283952e-14  3.285331e-14  3.286907e-14  3.280626e-14
2010-01-10   3.298182e-14  3.300053e-14   3.300927e-14  3.302310e-14  3.303861e-14  3.297679e-14
2010-01-11   3.315136e-14  3.316980e-14   3.317825e-14  3.319216e-14  3.320740e-14  3.314662e-14
2010-01-12   3.331984e-14  3.333799e-14   3.334616e-14  3.336018e-14  3.337514e-14  3.331545e-14
2010-01-13   3.348698e-14  3.350482e-14   3.351270e-14  3.352686e-14  3.354154e-14  3.348299e-14
2010-01-14   3.365250e-14  3.367000e-14   3.367762e-14  3.369190e-14  3.370628e-14  3.364892e-14
2010-01-15   3.381612e-14  3.383325e-14   3.384061e-14  3.385502e-14  3.386908e-14  3.381295e-14
2010-01-16   3.397756e-14  3.399431e-14   3.400141e-14  3.401591e-14  3.402965e-14  3.397480e-14
2010-01-17   3.413656e-14  3.415290e-14   3.415976e-14  3.417430e-14  3.418771e-14  3.413418e-14
2010-01-18   3.429285e-14  3.430877e-14   3.431538e-14  3.432991e-14  3.434297e-14  3.429083e-14
2010-01-19   3.444618e-14  3.446165e-14   3.446803e-14  3.448248e-14  3.449518e-14  3.444446e-14
2010-01-20   3.459630e-14  3.461131e-14   3.461746e-14  3.463175e-14  3.464408e-14  3.459483e-14
2010-01-21   3.474296e-14  3.475749e-14   3.476341e-14  3.477747e-14  3.478942e-14  3.474169e-14
2010-01-22   3.488594e-14  3.489997e-14   3.490566e-14  3.491941e-14  3.493096e-14  3.488480e-14
2010-01-23   3.502499e-14  3.503852e-14   3.504398e-14  3.505733e-14  3.506848e-14  3.502393e-14
2010-01-24   3.515991e-14  3.517291e-14   3.517815e-14  3.519101e-14  3.520175e-14  3.515886e-14
2010-01-25   3.529048e-14  3.530294e-14   3.530795e-14  3.532026e-14  3.533058e-14  3.528939e-14
2010-01-26   3.541649e-14  3.542841e-14   3.543318e-14  3.544488e-14  3.545476e-14  3.541532e-14
