            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy
2010-01-01      96.972895  96.955588      96.945816  96.931845  96.916974  96.975995
2010-01-02      96.832867  96.815478      96.805925  96.792232  96.777368  96.836393
2010-01-03      96.690380  96.672917      96.663571  96.650134  96.635278  96.694309
2010-01-04      96.545550  96.528022      96.518871  96.505646  96.490797  96.549837
2010-01-05      96.398492  96.380906      96.371939  96.358867  96.344024  96.403071
2010-01-06      96.249319  96.231678      96.222888  96.209894  96.195058  96.254110
2010-01-07      96.098140  96.080447      96.071827  96.058832  96.044001  96.103055
2010-01-08      95.945060  95.927319      95.918862  95.905784  95.890958  95.950011
2010-01-09      95.790185  95.772399      95.764099  95.750857  95.736036  95.795083
2010-01-10      95.633613  95.615787      95.607636  95.594156  95.579340  95.638380
2010-01-11      95.475443  95.457582      95.449571  95.435788  95.420976  95.480008
2010-01-12      95.315767  95.297878      95.289998  95.275858  95.261049  95.320072
2010-01-13      95.154677  95.136767      95.129007  95.114468  95.099662  95.158676
2010-01-14      94.992260  94.974337      94.966686  94.951719  94.936916  94.995920
2010-01-15      94.828598  94.810670      94.803119  94.787707  94.772907  94.831904
2010-01-16      94.663772  94.645848      94.638385  94.622529  94.607731  94.666720
2010-01-17      94.497859  94.479946      94.472560  94.456273  94.441477  94.500460
2010-01-18      94.330931  94.313036      94.305719  94.289027  94.274232  94.333209
2010-01-19      94.163057  94.145188      94.137930  94.120872  94.106079  94.165048
2010-01-20      93.994304  93.976465      93.969260  93.951886  93.937094  93.996056
2010-01-21      93.824733  93.806929      93.799770  93.782142  93.767351  93.826303
2010-01-22      93.654404  93.636638      93.629519  93.611708  93.596917  93.655856
2010-01-23      93.483371  93.465646      93.458563  93.440646  93.425855  93.484778
2010-01-24      93.311686  93.294005      93.286954  93.269013  93.254221  93.313124
2010-01-25      93.139397  93.121763      93.114740  93.096860  93.082068  93.140946
2010-01-26      92.966551  92.948966      92.941966  92.924230  92.909438  92.968289
2010-01-27      92.793188  92.775657      92.768675  92.751161  92.736368  92.795189
2010-01-28      92.619348  92.601876      92.594905  92.577681  92.562887  92.621676
2010-01-29      92.445065  92.427661      92.420693  92.403808  92.389013  92.447772
2010-01-30      92.270373  92.253045      92.246070  92.229556  92.214760  92.273490
2010-01-31      92.095301  92.078059      92.071066  92.054931  92.040132  92.098836
2010-02-01      91.919877  91.902727      91.895709  91.879934  91.865134  91.923813
2010-02-02      91.744123  91.727071      91.720023  91.704567  91.689766  91.748419
2010-02-03      91.568063  91.551111      91.544029  91.528835  91.514031  91.572657
2010-02-04      91.391714  91.374865      91.367747  91.352742  91.337937  91.396532
2010-02-05      91.215093  91.198348      91.191192  91.176298  91.161490  91.220052
2010-02-06      91.038215  91.021575      91.014380  90.999514  90.984704  91.043228
2010-02-07      90.861092  90.844560      90.837323  90.822404  90.807592  90.866076
2010-02-08      90.683734  90.667312      90.660031  90.644982  90.630168  90.688610
2010-02-09      90.506148  90.489841      90.482512  90.467263  90.452447  90.510846
2010-02-10      90.328341  90.312154      90.304771  90.289262  90.274444  90.332800
2010-02-11      90.150317  90.134256      90.126815  90.110995  90.096175  90.154487
2010-02-12      89.972080  89.956149      89.948645  89.932475  89.917653  89.975922
2010-02-13      89.793630  89.777836      89.770263  89.753716  89.738892  89.797118
2010-02-14      89.614967  89.599316      89.591669  89.574732  89.559905  89.618089
2010-02-15      89.436090  89.420587      89.412862  89.395533  89.380705  89.438847
2010-02-16      89.256996  89.241645      89.233839  89.216133  89.201302  89.259401
2010-02-17      89.077683  89.062486      89.054596  89.036540  89.021707  89.079760
2010-02-18      88.898144  88.883103      88.875130  88.856762  88.841928  88.899933
2010-02-19      88.718374  88.703492      88.695433  88.676807  88.661971  88.719926
2010-02-20      88.538368  88.523644      88.515502  88.496679  88.481841  88.539741
2010-02-21      88.358119  88.343552      88.335327  88.316380  88.301541  88.359381
2010-02-22      88.177618  88.163208      88.154903  88.135909  88.121068  88.178846
2010-02-23      87.996859  87.982605      87.974221  87.955263  87.940421  87.998132
2010-02-24      87.815832  87.801737      87.793274  87.774434  87.759591  87.817232
2010-02-25      87.634529  87.620595      87.612051  87.593408  87.578564  87.636136
2010-02-26      87.452942  87.439174      87.430546  87.412169  87.397324  87.454826
2010-02-27      87.271062  87.257466      87.248749  87.230693  87.215847  87.273282
2010-02-28      87.088879  87.075461      87.066651  87.048951  87.034104  87.091474
2010-03-01      86.906386  86.893151      86.884244  86.866912  86.852065  86.909371
2010-03-02      86.723573  86.710524      86.701519  86.684545  86.669697  86.726939
2010-03-03      86.540433  86.527571      86.518467  86.501818  86.486971  86.544147
2010-03-04      86.356956  86.344280      86.335082  86.318706  86.303859  86.360966
2010-03-05      86.173136  86.160643      86.151354  86.135187  86.120340  86.177375
2010-03-06      85.988965  85.976655      85.967278  85.951245  85.936398  85.993358
2010-03-07      85.804437  85.792308      85.782845  85.766868  85.752022  85.808904
2010-03-08      85.619545  85.607597      85.598050  85.582051  85.567205  85.624007
2010-03-09      85.434283  85.422518      85.412888  85.396788  85.381943  85.438665
2010-03-10      85.248647  85.237067      85.227354  85.211081  85.196236  85.252878
2010-03-11      85.062633  85.051240      85.041443  85.024931  85.010087  85.066649
2010-03-12      84.876238  84.865035      84.855152  84.838343  84.823501  84.879984
2010-03-13      84.689458  84.678449      84.668478  84.651324  84.636484  84.692890
2010-03-14      84.502292  84.491480      84.481420  84.463884  84.449045  84.505375
2010-03-15      84.314739  84.304126      84.293978  84.276033  84.261196  84.317452
2010-03-16      84.126800  84.116388      84.106151  84.087786  84.072951  84.129132
2010-03-17      83.938476  83.928265      83.917941  83.899157  83.884324  83.940429
2010-03-18      83.749769  83.739759      83.729349  83.710163  83.695332  83.751359
2010-03-19      83.560682  83.550871      83.540380  83.520821  83.505992  83.561938
2010-03-20      83.371220  83.361606      83.351038  83.331149  83.316323  83.372185
2010-03-21      83.181388  83.171967      83.161327  83.141165  83.126341  83.182116
2010-03-22      82.991193  82.981962      82.971255  82.950887  82.936065  82.991749
2010-03-23      82.800643  82.791599      82.780830  82.760329  82.745511  82.801102
2010-03-24      82.609747  82.600888      82.590061  82.569507  82.554692  82.610188
2010-03-25      82.418514  82.409842      82.398957  82.378431  82.363619  82.419022
2010-03-26      82.226957  82.218473      82.207531  82.187110  82.172301  82.227612
2010-03-27      82.035088  82.026796      82.015794  81.995548  81.980742  82.035964
2010-03-28      81.842921  81.834825      81.823761  81.803745  81.788942  81.844079
2010-03-29      81.650471  81.642575      81.631447  81.611698  81.596899  81.651952
2010-03-30      81.457754  81.450059      81.438869  81.419404  81.404608  81.459579
2010-03-31      81.264790  81.257294      81.246044  81.226858  81.212067  81.266954
2010-04-01      81.071595  81.064295      81.052991  81.034060  81.019272  81.074075
2010-04-02      80.878191  80.871084      80.859731  80.841013  80.826229  80.880943
2010-04-03      80.684600  80.677680      80.666285  80.647723  80.632943  80.687568
2010-04-04      80.490844  80.484108      80.472675  80.454206  80.439429  80.493962
2010-04-05      80.296947  80.290393      80.278928  80.260477  80.245705  80.300146
2010-04-06      80.102935  80.096562      80.085067  80.066562  80.051793  80.106143
2010-04-07      79.908836  79.902643      79.891119  79.872485  79.857721  79.911981
2010-04-08      79.714676  79.708665      79.697113  79.678278  79.663518  79.717690
2010-04-09      79.520486  79.514657      79.503079  79.483975  79.469219  79.523306
2010-04-10      79.326296  79.320651      79.309046  79.289612  79.274860  79.328864
2010-04-11      79.132138  79.126679      79.115047  79.095228  79.080481  79.134405
2010-04-12      78.938045  78.932774      78.921115  78.900868  78.886124  78.939971
2010-04-13      78.744053  78.738969      78.727285  78.706575  78.691836  78.745607
2010-04-14      78.550197  78.545300      78.533593  78.512399  78.497665  78.551360
2010-04-15      78.356513  78.351801      78.340076  78.318392  78.303661  78.357280
2010-04-16      78.163042  78.158511      78.146771  78.124605  78.109879  78.163419
2010-04-17      77.969822  77.965468      77.953720  77.931094  77.916372  77.969832
2010-04-18      77.776894  77.772711      77.760962  77.737915  77.723198  77.776574
2010-04-19      77.584300  77.580284      77.568540  77.545124  77.530410  77.583701
2010-04-20      77.392084  77.388231      77.376498  77.352774  77.338065  77.391269
2010-04-21      77.200290  77.196598      77.184879  77.160921  77.146217  77.199334
2010-04-22      77.008965  77.005432      76.993731  76.969615  76.954914  77.007949
2010-04-23      76.818156  76.814783      76.803099  76.778904  76.764207  76.817162
2010-04-24      76.627910  76.624701      76.613032  76.588832  76.574140  76.627020
2010-04-25      76.438277  76.435236      76.423581  76.399441  76.384753  76.437564
2010-04-26      76.249309  76.246436      76.234794  76.210769  76.196085  76.248832
2010-04-27      76.061056  76.058353      76.046725  76.022853  76.008173  76.060856
2010-04-28      75.873572  75.871037      75.859426  75.835727  75.821051  75.873672
2010-04-29      75.686911  75.684541      75.672951  75.649428  75.634756  75.687313
2010-04-30      75.501128  75.498918      75.487356  75.463992  75.449325  75.501816
2010-05-01      75.316280  75.314224      75.302698  75.279462  75.264799  75.317223
2010-05-02      75.132425  75.130518      75.119033  75.095882  75.081222  75.133578
2010-05-03      74.949621  74.947860      74.936421  74.913300  74.898645  74.950933
2010-05-04      74.767928  74.766310      74.754921  74.731770  74.717118  74.769341
2010-05-05      74.587407  74.585931      74.574594  74.551348  74.536701  74.588861
2010-05-06      74.408120  74.406785      74.395502  74.372095  74.357451  74.409552
2010-05-07      74.230130  74.228938      74.217709  74.194074  74.179434  74.231479
2010-05-08      74.053502  74.052453      74.041279  74.017351  74.002715  74.054709
2010-05-09      73.878300  73.877396      73.866276  73.841995  73.827363  73.879309
2010-05-10      73.704590  73.703833      73.692767  73.668078  73.653450  73.705352
2010-05-11      73.532441  73.531829      73.520819  73.495676  73.481052  73.532911
2010-05-12      73.361920  73.361454      73.350500  73.324865  73.310245  73.362064
2010-05-13      73.193095  73.192773      73.181879  73.155728  73.141111  73.192889
2010-05-14      73.026039  73.025857      73.015027  72.988346  72.973733  73.025470
2010-05-15      72.860820  72.860773      72.850014  72.822807  72.808198  72.859890
2010-05-16      72.697512  72.697594      72.686913  72.659197  72.644592  72.696238
2010-05-17      72.536187  72.536392      72.525796  72.497606  72.483005  72.534601
2010-05-18      72.376919  72.377241      72.366736  72.338120  72.323522  72.375068
2010-05-19      72.219782  72.220219      72.209809  72.180825  72.166231  72.217728
2010-05-20      72.064851  72.065403      72.055090  72.025805  72.011216  72.062667
2010-05-21      71.912204  71.912870      71.902653  71.873140  71.858555  71.909965
2010-05-22      71.761915  71.762700      71.752577  71.722908  71.708327  71.759703
2010-05-23      71.614063  71.614969      71.604939  71.575182  71.560605  71.611952
2010-05-24      71.468725  71.469754      71.459816  71.430031  71.415459  71.466781
2010-05-25      71.325981  71.327133      71.317287  71.287525  71.272957  71.324258
2010-05-26      71.185909  71.187183      71.177431  71.147728  71.133164  71.184445
2010-05-27      71.048589  71.049980      71.040328  71.010707  70.996147  71.047406
2010-05-28      70.914101  70.915605      70.906058  70.876525  70.861970  70.913206
2010-05-29      70.782526  70.784136      70.774701  70.745250  70.730700  70.781910
2010-05-30      70.653944  70.655655      70.646338  70.616949  70.602404  70.653587
2010-05-31      70.528437  70.530243      70.521051  70.491692  70.477151  70.528307
2010-06-01      70.406084  70.407983      70.398919  70.369551  70.355015  70.406145
2010-06-02      70.286969  70.288958      70.280025  70.250600  70.236070  70.287176
2010-06-03      70.171173  70.173250      70.164450  70.134916  70.120391  70.171477
2010-06-04      70.058775  70.060941      70.052276  70.022577  70.008058  70.059127
2010-06-05      69.949859  69.952114      69.943583  69.913663  69.899150  69.950207
2010-06-06      69.844505  69.846850      69.838452  69.808256  69.793748  69.844797
2010-06-07      69.742794  69.745230      69.736965  69.706437  69.691935  69.742981
2010-06-08      69.644807  69.647333      69.639203  69.608292  69.593796  69.644841
2010-06-09      69.550623  69.553240      69.545244  69.513906  69.499416  69.550463
2010-06-10      69.460322  69.463027      69.455168  69.423365  69.408883  69.459930
2010-06-11      69.373983  69.376773      69.369056  69.336760  69.322284  69.373332
2010-06-12      69.291685  69.294554      69.286983  69.254180  69.239711  69.290755
2010-06-13      69.213504  69.216445      69.209029  69.175716  69.161254  69.212292
2010-06-14      69.139517  69.142523      69.135270  69.101460  69.087005  69.138033
2010-06-15      69.069801  69.072865      69.065780  69.031501  69.017054  69.068069
2010-06-16      69.004428  69.007546      69.000635  68.965926  68.951487  69.002491
2010-06-17      68.943472  68.946644      68.939907  68.904820  68.890389  68.941385
2010-06-18      68.887005  68.890231      68.883668  68.848260  68.833837  68.884832
2010-06-19      68.835098  68.838379      68.831989  68.796321  68.781907  68.832905
2010-06-20      68.787820  68.791158      68.784939  68.749070  68.734665  68.785674
2010-06-21      68.745237  68.748634      68.742584  68.706573  68.692177  68.743201
2010-06-22      68.707415  68.710871      68.704991  68.668887  68.654501  68.705541
2010-06-23      68.674418  68.677930      68.672222  68.636068  68.621692  68.672749
2010-06-24      68.646308  68.649872      68.644341  68.608168  68.593801  68.644875
2010-06-25      68.623144  68.626754      68.621406  68.585235  68.570879  68.621966
2010-06-26      68.604984  68.608635      68.603474  68.567317  68.552971  68.604069
2010-06-27      68.591884  68.595568      68.590603  68.554457  68.540122  68.591228
2010-06-28      68.583896  68.587609      68.582843  68.546700  68.532376  68.583488
2010-06-29      68.581072  68.584808      68.580247  68.544086  68.529774  68.580892
2010-06-30      68.583459  68.587215      68.582861  68.546657  68.532356  68.583482
2010-07-01      68.591102  68.594877      68.590733  68.554452  68.540163  68.591298
2010-07-02      68.604046  68.607838      68.603904  68.567508  68.553231  68.604379
2010-07-03      68.622330  68.626138      68.622415  68.585862  68.571598  68.622762
2010-07-04      68.645990  68.649816      68.646302  68.609549  68.595297  68.646483
2010-07-05      68.675063  68.678906      68.675602  68.638602  68.624364  68.675574
2010-07-06      68.709579  68.713440      68.710344  68.673053  68.658828  68.710066
2010-07-07      68.749567  68.753446      68.750558  68.712933  68.698721  68.749989
2010-07-08      68.795052  68.798948      68.796268  68.758268  68.744071  68.795370
2010-07-09      68.846056  68.849966      68.847498  68.809089  68.794906  68.846235
2010-07-10      68.902600  68.906518      68.904266  68.865419  68.851251  68.902607
2010-07-11      68.964698  68.968619      68.966589  68.927286  68.913133  68.964511
2010-07-12      69.032364  69.036280      69.034478  68.994713  68.980575  69.031971
2010-07-13      69.105606  69.109511      69.107944  69.067722  69.053598  69.105009
2010-07-14      69.184432  69.188321      69.186992  69.146330  69.132222  69.183647
2010-07-15      69.268844  69.272715      69.271626  69.230551  69.216460  69.267901
2010-07-16      69.358841  69.362696      69.361845  69.320395  69.306319  69.357782
2010-07-17      69.454420  69.458260      69.457645  69.415861  69.401802  69.453293
2010-07-18      69.555574  69.559401      69.559019  69.516947  69.502905  69.554428
2010-07-19      69.662291  69.666107      69.665957  69.623642  69.609616  69.661176
