                 spacepy  spacepy-irbem     spiceypy1     spiceypy2         sunpy      pyspedas  |max-min|
2010-01-01  7.977197e-04      -0.000125 -2.136118e-06 -2.136118e-06  1.712772e-03 -2.425839e-09   0.001838
2010-01-02  8.103670e-04      -0.000109  3.961058e-05  3.961058e-05  1.857612e-03 -2.585423e-09   0.001967
2010-01-03  8.266497e-04      -0.000093  7.978868e-05  7.978868e-05  2.004276e-03 -2.745686e-09   0.002097
2010-01-04  8.418699e-04      -0.000075  1.158817e-04  1.158817e-04  2.145499e-03 -2.906411e-09   0.002220
2010-01-05  8.519956e-04      -0.000055  1.457795e-04  1.457795e-04  2.275226e-03 -3.067406e-09   0.002331
2010-01-06  8.549236e-04      -0.000035  1.679459e-04  1.679459e-04  2.389936e-03 -3.228436e-09   0.002425
2010-01-07  8.507951e-04      -0.000013  1.814804e-04  1.814804e-04  2.488782e-03 -3.389335e-09   0.002501
2010-01-08  8.414696e-04       0.000010  1.860943e-04  1.860943e-04  2.573117e-03 -3.549868e-09   0.002573
2010-01-09  8.296488e-04       0.000035  1.820345e-04  1.820345e-04  2.645879e-03 -3.709861e-09   0.002646
2010-01-10  8.181123e-04       0.000060  1.699886e-04  1.699886e-04  2.710577e-03 -3.869062e-09   0.002711
2010-01-11  8.092315e-04       0.000087  1.509889e-04  1.509889e-04  2.770448e-03 -4.027324e-09   0.002770
2010-01-12  8.046943e-04       0.000115  1.263236e-04  1.263236e-04  2.828272e-03 -4.184400e-09   0.002828
2010-01-13  8.053460e-04       0.000144  9.745809e-05  9.745809e-05  2.886389e-03 -4.340105e-09   0.002886
2010-01-14  8.111427e-04       0.000173  6.596183e-05  6.596183e-05  2.946404e-03 -4.494275e-09   0.002946
2010-01-15  8.212487e-04       0.000204  3.344199e-05  3.344199e-05  3.009107e-03 -4.646651e-09   0.003009
2010-01-16  8.342493e-04       0.000236  1.481178e-06  1.481178e-06  3.074636e-03 -4.797091e-09   0.003075
2010-01-17  8.483956e-04       0.000269 -2.841884e-05 -2.841884e-05  3.142617e-03 -4.945342e-09   0.003171
2010-01-18  8.618254e-04       0.000302 -5.488632e-05 -5.488632e-05  3.212464e-03 -5.091309e-09   0.003267
2010-01-19  8.727776e-04       0.000337 -7.672053e-05 -7.672053e-05  3.283614e-03 -5.234725e-09   0.003360
2010-01-20  8.798276e-04       0.000372 -9.292487e-05 -9.292487e-05  3.355608e-03 -5.375458e-09   0.003449
2010-01-21  8.821126e-04       0.000408 -1.027339e-04 -1.027339e-04  3.428264e-03 -5.513318e-09   0.003531
2010-01-22  8.794774e-04       0.000445 -1.056374e-04 -1.056374e-04  3.501840e-03 -5.648083e-09   0.003607
2010-01-23  8.725327e-04       0.000482 -1.014057e-04 -1.014057e-04  3.577118e-03 -5.779668e-09   0.003679
2010-01-24  8.626905e-04       0.000520 -9.011869e-05 -9.011869e-05  3.655440e-03 -5.907850e-09   0.003746
2010-01-25  8.521999e-04       0.000558 -7.219959e-05 -7.219959e-05  3.738721e-03 -6.032451e-09   0.003811
2010-01-26  8.440240e-04       0.000597 -4.844923e-05 -4.844923e-05  3.829136e-03 -6.153396e-09   0.003878
2010-01-27  8.412982e-04       0.000637 -2.006815e-05 -2.006815e-05  3.928443e-03 -6.270479e-09   0.003949
2010-01-28  8.462948e-04       0.000676  1.135369e-05  1.135369e-05  4.037161e-03 -6.383562e-09   0.004037
2010-01-29  8.592654e-04       0.000717  4.390477e-05  4.390477e-05  4.153706e-03 -6.492474e-09   0.004154
2010-01-30  8.778616e-04       0.000757  7.549498e-05  7.549498e-05  4.273934e-03 -6.597158e-09   0.004274
2010-01-31  8.976821e-04       0.000798  1.040660e-04  1.040660e-04  4.391569e-03 -6.697420e-09   0.004392
2010-02-01  9.138509e-04       0.000839  1.278275e-04  1.278275e-04  4.499899e-03 -6.793162e-09   0.004500
2010-02-02  9.228537e-04       0.000880  1.454553e-04  1.454553e-04  4.594010e-03 -6.884225e-09   0.004594
