            geopack_08_dp    spacepy  spacepy-irbem  spiceypy1  spiceypy2      sunpy   pyspedas
2010-01-01      23.437976  23.438774      23.437851  23.437974  23.437974  23.439689  23.437976
2010-01-02      23.437976  23.438786      23.437866  23.438016  23.438016  23.439834  23.437976
2010-01-03      23.437976  23.438802      23.437883  23.438055  23.438055  23.439980  23.437976
2010-01-04      23.437975  23.438817      23.437901  23.438091  23.438091  23.440121  23.437975
2010-01-05      23.437975  23.438827      23.437920  23.438121  23.438121  23.440250  23.437975
2010-01-06      23.437974  23.438829      23.437940  23.438142  23.438142  23.440364  23.437974
2010-01-07      23.437974  23.438825      23.437961  23.438156  23.438156  23.440463  23.437974
2010-01-08      23.437974  23.438815      23.437984  23.438160  23.438160  23.440547  23.437974
2010-01-09      23.437973  23.438803      23.438008  23.438155  23.438155  23.440619  23.437973
2010-01-10      23.437973  23.438791      23.438033  23.438143  23.438143  23.440684  23.437973
2010-01-11      23.437973  23.438782      23.438060  23.438124  23.438124  23.440743  23.437973
2010-01-12      23.437972  23.438777      23.438087  23.438099  23.438099  23.440801  23.437972
2010-01-13      23.437972  23.438777      23.438115  23.438069  23.438069  23.440858  23.437972
2010-01-14      23.437972  23.438783      23.438145  23.438038  23.438038  23.440918  23.437972
2010-01-15      23.437971  23.438793      23.438175  23.438005  23.438005  23.440980  23.437971
2010-01-16      23.437971  23.438805      23.438207  23.437972  23.437972  23.441046  23.437971
2010-01-17      23.437971  23.438819      23.438239  23.437942  23.437942  23.441113  23.437971
2010-01-18      23.437970  23.438832      23.438273  23.437915  23.437915  23.441183  23.437970
2010-01-19      23.437970  23.438843      23.438307  23.437893  23.437893  23.441253  23.437970
2010-01-20      23.437969  23.438849      23.438341  23.437877  23.437877  23.441325  23.437969
2010-01-21      23.437969  23.438851      23.438377  23.437866  23.437866  23.441397  23.437969
2010-01-22      23.437969  23.438848      23.438413  23.437863  23.437863  23.441471  23.437969
2010-01-23      23.437968  23.438841      23.438450  23.437867  23.437867  23.441546  23.437968
2010-01-24      23.437968  23.438831      23.438488  23.437878  23.437878  23.441624  23.437968
2010-01-25      23.437968  23.438820      23.438526  23.437896  23.437896  23.441706  23.437968
2010-01-26      23.437967  23.438811      23.438564  23.437919  23.437919  23.441796  23.437967
2010-01-27      23.437967  23.438808      23.438604  23.437947  23.437947  23.441895  23.437967
2010-01-28      23.437967  23.438813      23.438643  23.437978  23.437978  23.442004  23.437967
2010-01-29      23.437966  23.438826      23.438683  23.438010  23.438010  23.442120  23.437966
2010-01-30      23.437966  23.438844      23.438723  23.438041  23.438041  23.442240  23.437966
2010-01-31      23.437966  23.438863      23.438763  23.438070  23.438070  23.442357  23.437966
2010-02-01      23.437965  23.438879      23.438804  23.438093  23.438093  23.442465  23.437965
