                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-01-01  1.377797e-03  -2.548059e-02  -0.005765  -0.011939  0.003784   0.029265
2010-01-02  1.387932e-03  -2.552657e-02  -0.005652  -0.011848  0.003886   0.029412
2010-01-03  1.399277e-03  -2.556464e-02  -0.005540  -0.011757  0.003985   0.029550
2010-01-04  1.407230e-03  -2.559491e-02  -0.005431  -0.011667  0.004077   0.029672
2010-01-05  1.408483e-03  -2.561750e-02  -0.005326  -0.011581  0.004156   0.029774
2010-01-06  1.401946e-03  -2.563254e-02  -0.005227  -0.011500  0.004220   0.029852
2010-01-07  1.388690e-03  -2.564015e-02  -0.005134  -0.011425  0.004268   0.029909
2010-01-08  1.371188e-03  -2.564042e-02  -0.005049  -0.011355  0.004305   0.029945
2010-01-09  1.352381e-03  -2.563350e-02  -0.004970  -0.011291  0.004332   0.029965
2010-01-10  1.334967e-03  -2.561949e-02  -0.004896  -0.011231  0.004352   0.029972
2010-01-11  1.321008e-03  -2.559851e-02  -0.004828  -0.011176  0.004370   0.029969
2010-01-12  1.311751e-03  -2.557067e-02  -0.004764  -0.011123  0.004387   0.029958
2010-01-13  1.307564e-03  -2.553610e-02  -0.004702  -0.011072  0.004405   0.029941
2010-01-14  1.307969e-03  -2.549491e-02  -0.004641  -0.011022  0.004425   0.029919
2010-01-15  1.311798e-03  -2.544720e-02  -0.004580  -0.010969  0.004446   0.029893
2010-01-16  1.317441e-03  -2.539311e-02  -0.004517  -0.010915  0.004469   0.029863
2010-01-17  1.323110e-03  -2.533274e-02  -0.004452  -0.010857  0.004494   0.029827
2010-01-18  1.327056e-03  -2.526620e-02  -0.004383  -0.010794  0.004519   0.029785
2010-01-19  1.327754e-03  -2.519362e-02  -0.004309  -0.010725  0.004543   0.029737
2010-01-20  1.324102e-03  -2.511510e-02  -0.004230  -0.010649  0.004568   0.029683
2010-01-21  1.315609e-03  -2.503076e-02  -0.004144  -0.010566  0.004592   0.029623
2010-01-22  1.302500e-03  -2.494070e-02  -0.004051  -0.010476  0.004617   0.029557
2010-01-23  1.285732e-03  -2.484505e-02  -0.003952  -0.010378  0.004643   0.029488
2010-01-24  1.266980e-03  -2.474392e-02  -0.003846  -0.010272  0.004672   0.029416
2010-01-25  1.248605e-03  -2.463740e-02  -0.003734  -0.010160  0.004706   0.029344
2010-01-26  1.233481e-03  -2.452563e-02  -0.003617  -0.010040  0.004748   0.029274
2010-01-27  1.224396e-03  -2.440870e-02  -0.003495  -0.009916  0.004799   0.029208
2010-01-28  1.223040e-03  -2.428673e-02  -0.003369  -0.009787  0.004859   0.029146
2010-01-29  1.228975e-03  -2.415983e-02  -0.003243  -0.009655  0.004927   0.029087
2010-01-30  1.239284e-03  -2.402810e-02  -0.003116  -0.009523  0.004997   0.029025
2010-01-31  1.249354e-03  -2.389166e-02  -0.002991  -0.009392  0.005064   0.028956
2010-02-01  1.254542e-03  -2.375061e-02  -0.002870  -0.009263  0.005122   0.028873
2010-02-02  1.251894e-03  -2.360506e-02  -0.002753  -0.009138  0.005166   0.028771
2010-02-03  1.241038e-03  -2.345513e-02  -0.002641  -0.009017  0.005196   0.028651
2010-02-04  1.223908e-03  -2.330091e-02  -0.002535  -0.008901  0.005214   0.028515
2010-02-05  1.203674e-03  -2.314251e-02  -0.002434  -0.008788  0.005222   0.028364
2010-02-06  1.183563e-03  -2.298005e-02  -0.002337  -0.008679  0.005225   0.028205
2010-02-07  1.166112e-03  -2.281362e-02  -0.002244  -0.008573  0.005225   0.028039
2010-02-08  1.152910e-03  -2.264333e-02  -0.002153  -0.008469  0.005226   0.027870
2010-02-09  1.144644e-03  -2.246929e-02  -0.002065  -0.008366  0.005229   0.027699
2010-02-10  1.141192e-03  -2.229160e-02  -0.001977  -0.008263  0.005235   0.027527
2010-02-11  1.141726e-03  -2.211037e-02  -0.001890  -0.008159  0.005244   0.027354
2010-02-12  1.144866e-03  -2.192569e-02  -0.001801  -0.008053  0.005256   0.027181
2010-02-13  1.148905e-03  -2.173768e-02  -0.001711  -0.007944  0.005269   0.027006
2010-02-14  1.152059e-03  -2.154643e-02  -0.001618  -0.007832  0.005282   0.026829
2010-02-15  1.152669e-03  -2.135204e-02  -0.001522  -0.007716  0.005295   0.026647
2010-02-16  1.149377e-03  -2.115463e-02  -0.001422  -0.007595  0.005306   0.026461
2010-02-17  1.141310e-03  -2.095428e-02  -0.001319  -0.007470  0.005315   0.026270
2010-02-18  1.128281e-03  -2.075111e-02  -0.001212  -0.007340  0.005323   0.026074
2010-02-19  1.110901e-03  -2.054521e-02  -0.001101  -0.007206  0.005328   0.025874
2010-02-20  1.090559e-03  -2.033667e-02  -0.000986  -0.007067  0.005334   0.025671
2010-02-21  1.069278e-03  -2.012561e-02  -0.000868  -0.006923  0.005341   0.025467
2010-02-22  1.049513e-03  -1.991211e-02  -0.000747  -0.006776  0.005352   0.025264
2010-02-23  1.033837e-03  -1.969628e-02  -0.000625  -0.006626  0.005368   0.025065
2010-02-24  1.024390e-03  -1.947822e-02  -0.000500  -0.006474  0.005391   0.024870
2010-02-25  1.022077e-03  -1.925802e-02  -0.000375  -0.006320  0.005421   0.024679
2010-02-26  1.025831e-03  -1.903577e-02  -0.000251  -0.006166  0.005456   0.024491
2010-02-27  1.032472e-03  -1.881158e-02  -0.000128  -0.006012  0.005491   0.024303
2010-02-28  1.037510e-03  -1.858554e-02  -0.000007  -0.005860  0.005523   0.024108
2010-03-01  1.036705e-03  -1.835775e-02   0.000112  -0.005709  0.005545   0.023903
2010-03-02  1.027649e-03  -1.812829e-02   0.000227  -0.005561  0.005556   0.023684
2010-03-03  1.010540e-03  -1.789727e-02   0.000339  -0.005415  0.005554   0.023452
2010-03-04  9.878282e-04  -1.766478e-02   0.000449  -0.005271  0.005544   0.023209
2010-03-05  9.630412e-04  -1.743091e-02   0.000555  -0.005128  0.005529   0.022960
2010-03-06  9.395236e-04  -1.719575e-02   0.000660  -0.004987  0.005513   0.022709
2010-03-07  9.196478e-04  -1.695940e-02   0.000764  -0.004846  0.005499   0.022458
2010-03-08  9.046266e-04  -1.672194e-02   0.000867  -0.004705  0.005488   0.022210
2010-03-09  8.946802e-04  -1.648347e-02   0.000969  -0.004564  0.005481   0.021965
2010-03-10  8.892649e-04  -1.624408e-02   0.001072  -0.004421  0.005479   0.021723
2010-03-11  8.872493e-04  -1.600385e-02   0.001176  -0.004278  0.005481   0.021485
2010-03-12  8.870816e-04  -1.576288e-02   0.001280  -0.004132  0.005484   0.021247
2010-03-13  8.869969e-04  -1.552125e-02   0.001385  -0.003985  0.005489   0.021010
2010-03-14  8.852394e-04  -1.527906e-02   0.001492  -0.003835  0.005492   0.020771
2010-03-15  8.802554e-04  -1.503638e-02   0.001600  -0.003684  0.005493   0.020529
2010-03-16  8.708634e-04  -1.479331e-02   0.001709  -0.003530  0.005490   0.020284
2010-03-17  8.564448e-04  -1.454994e-02   0.001819  -0.003374  0.005483   0.020033
2010-03-18  8.371411e-04  -1.430634e-02   0.001931  -0.003217  0.005472   0.019778
2010-03-19  8.139679e-04  -1.406260e-02   0.002043  -0.003058  0.005457   0.019520
2010-03-20  7.887469e-04  -1.381880e-02   0.002155  -0.002899  0.005440   0.019259
2010-03-21  7.638456e-04  -1.357504e-02   0.002267  -0.002738  0.005423   0.018998
2010-03-22  7.417836e-04  -1.333139e-02   0.002379  -0.002577  0.005408   0.018740
2010-03-23  7.247568e-04  -1.308793e-02   0.002490  -0.002417  0.005397   0.018485
2010-03-24  7.140967e-04  -1.284474e-02   0.002600  -0.002256  0.005391   0.018236
2010-03-25  7.097277e-04  -1.260191e-02   0.002709  -0.002096  0.005390   0.017992
2010-03-26  7.098373e-04  -1.235952e-02   0.002817  -0.001936  0.005392   0.017751
2010-03-27  7.110592e-04  -1.211765e-02   0.002923  -0.001777  0.005394   0.017512
2010-03-28  7.093288e-04  -1.187636e-02   0.003028  -0.001618  0.005392   0.017268
2010-03-29  7.012014e-04  -1.163575e-02   0.003133  -0.001459  0.005382   0.017018
2010-03-30  6.850702e-04  -1.139589e-02   0.003236  -0.001301  0.005364   0.016760
2010-03-31  6.616882e-04  -1.115685e-02   0.003339  -0.001142  0.005338   0.016495
2010-04-01  6.337489e-04  -1.091871e-02   0.003442  -0.000982  0.005307   0.016226
2010-04-02  6.047986e-04  -1.068155e-02   0.003546  -0.000822  0.005276   0.015957
2010-04-03  5.780671e-04  -1.044543e-02   0.003649  -0.000660  0.005247   0.015692
2010-04-04  5.557210e-04  -1.021044e-02   0.003753  -0.000498  0.005222   0.015433
2010-04-05  5.386810e-04  -9.976647e-03   0.003858  -0.000334  0.005204   0.015181
2010-04-06  5.268160e-04  -9.744119e-03   0.003963  -0.000169  0.005191   0.014936
2010-04-07  5.192372e-04  -9.512930e-03   0.004069  -0.000003  0.005184   0.014697
2010-04-08  5.145499e-04  -9.283149e-03   0.004174   0.000164  0.005179   0.014462
2010-04-09  5.110595e-04  -9.054846e-03   0.004279   0.000332  0.005175   0.014230
2010-04-10  5.069732e-04  -8.828089e-03   0.004384   0.000499  0.005170   0.013998
2010-04-11  5.005936e-04  -8.602946e-03   0.004488   0.000667  0.005162   0.013765
2010-04-12  4.904897e-04  -8.379484e-03   0.004591   0.000833  0.005149   0.013528
2010-04-13  4.756672e-04  -8.157769e-03   0.004692   0.000999  0.005129   0.013287
2010-04-14  4.557709e-04  -7.937866e-03   0.004791   0.001164  0.005103   0.013040
2010-04-15  4.312914e-04  -7.719839e-03   0.004888   0.001327  0.005069   0.012789
2010-04-16  4.036639e-04  -7.503752e-03   0.004982   0.001487  0.005030   0.012534
2010-04-17  3.751371e-04  -7.289667e-03   0.005073   0.001646  0.004987   0.012363
2010-04-18  3.483755e-04  -7.077647e-03   0.005162   0.001802  0.004944   0.012239
2010-04-19  3.258799e-04  -6.867751e-03   0.005247   0.001957  0.004901   0.012115
2010-04-20  3.093699e-04  -6.660040e-03   0.005331   0.002109  0.004863   0.011991
2010-04-21  2.992775e-04  -6.454573e-03   0.005412   0.002261  0.004829   0.011867
2010-04-22  2.944825e-04  -6.251407e-03   0.005492   0.002411  0.004799   0.011743
2010-04-23  2.924138e-04  -6.050601e-03   0.005571   0.002561  0.004772   0.011622
2010-04-24  2.895922e-04  -5.852210e-03   0.005650   0.002712  0.004744   0.011502
2010-04-25  2.825499e-04  -5.656289e-03   0.005730   0.002865  0.004713   0.011386
2010-04-26  2.688674e-04  -5.462893e-03   0.005811   0.003019  0.004678   0.011274
2010-04-27  2.479348e-04  -5.272075e-03   0.005895   0.003176  0.004637   0.011167
2010-04-28  2.211083e-04  -5.083889e-03   0.005980   0.003335  0.004594   0.011064
2010-04-29  1.911925e-04  -4.898385e-03   0.006068   0.003498  0.004549   0.010966
2010-04-30  1.614991e-04  -4.715614e-03   0.006158   0.003664  0.004508   0.010874
2010-05-01  1.349009e-04  -4.535626e-03   0.006250   0.003832  0.004472   0.010786
2010-05-02  1.132288e-04  -4.358470e-03   0.006343   0.004002  0.004443   0.010702
2010-05-03  9.711300e-05  -4.184193e-03   0.006438   0.004173  0.004420   0.010622
2010-05-04  8.614654e-05  -4.012842e-03   0.006532   0.004345  0.004403   0.010545
2010-05-05  7.917840e-05  -3.844464e-03   0.006625   0.004517  0.004390   0.010470
2010-05-06  7.460610e-05  -3.679103e-03   0.006718   0.004688  0.004378   0.010397
